species;latitude;longitude
Abies holophylla;43.512897;131.49602
Abies holophylla;43.236287;131.306757
Abies holophylla;43.31606;131.4353
Abies holophylla;43.112019;131.445437
Abies holophylla;43.646692;132.432589
Abies holophylla;43.179548;132.778699
Abies holophylla;42.724199;131.511381
Abies holophylla;41.396803;128.211954
Abies holophylla;43.221444;131.99422
Acer mayrii;46.649638;141.868533
Acer mayrii;48.935547;142.210073
Acer mayrii;46.300852;143.385666
Acer mayrii;50.908452;142.675447
Acer mayrii;48.94601;142.206289
Acer mayrii;49.44688;142.128425
Acer mayrii;47.754659;142.060794
Acer mayrii;46.597762;143.068313
Acer mayrii;46.916536;143.090713
Acer mayrii;46.97598;142.776124
Acer mayrii;46.049173;141.94048
Acer mayrii;50.599129;143.420388
Acer mayrii;45.236871;147.917925
Acer mayrii;43.892388;145.575152
Acer mayrii;43.883801;145.506798
Acer mayrii;46.444136;143.346993
Acer mayrii;40.45;140.82
Acer mayrii;46.2276;141.236517
Acer mayrii;47.24065;142.7798
Acer mayrii;47.096046;142.065052
Acer mayrii;50.905097;142.196809
Acer mayrii;48.818978;141.912707
Acer mayrii;48.447312;142.12588
Acer mayrii;48.051314;142.520655
Acer mayrii;46.242316;141.23017
Acer mayrii;45.273098;148.006693
Acer mayrii;43.860645;146.822402
Acer mayrii;44.012889;145.802514
Acer mono;42.98018;131.722268
Acer mono;42.77258;132.338663
Acer mono;43.217912;131.988858
Acer mono;43.219462;132.023547
Acer mono;43.028054;131.828391
Acer mono;43.005791;131.778385
Acer mono;42.877186;131.6637
Acer mono;43.059516;131.865704
Acer mono;42.96477;131.73157
Acer mono;42.829617;132.993446
Acer mono;42.975812;132.873213
Acer mono;45.138654;136.378832
Acer mono;44.280225;132.599752
Acer mono;45.897149;134.902537
Acer mono;43.71513;134.195903
Acer mono;42.849179;132.408837
Acer mono;43.365635;131.642397
Acer mono;50.482481;137.090867
Acer mono;48.223316;135.08736
Acer mono;48.327502;135.081501
Acer mono;49.504103;136.908327
Acer mono;47.536467;134.810463
Acer mono;48.582152;130.641283
Acer mono;47.415778;142.78165
Acer mono;45.037872;136.625973
Acer mono;49.029735;130.591553
Acer mono;49.064652;131.076437
Acer mono;42.468351;130.917788
Acer mono;44.073992;134.025751
Acer mono;44.678467;134.304334
Acer mono;42.640027;130.828641
Acer mono;42.928354;131.432306
Acer mono;44.351586;135.085535
Acer mono;47.406427;142.814222
Acer mono;44.059503;145.771438
Acer mono;43.60729;131.3924
Acer mono;43.57637;131.34832
Acer mono;53.151201;140.778875
Acer mono;52.935815;139.753338
Acer mono;51.995781;137.067266
Acer mono;51.676778;140.322399
Acer mono;51.633762;140.777726
Acer mono;50.495291;136.82337
Acer mono;51.105327;137.418285
Acer mono;50.04335;136.49087
Acer mono;49.116729;140.23245
Acer mono;47.977395;139.455369
Acer mono;44.768095;132.040914
Acer mono;45.16695;135.35914
Acer mono;49.09118;130.77113
Acer mono;50.07774;128.07004
Acer mono;43.221444;131.99422
Fraxinus mandshurica;44.071108;134.055612
Fraxinus mandshurica;48.184666;134.682744
Fraxinus mandshurica;43.103353;131.547227
Fraxinus mandshurica;42.797713;131.243399
Fraxinus mandshurica;47.526327;134.723056
Fraxinus mandshurica;48.349351;135.031779
Fraxinus mandshurica;47.516123;134.707435
Fraxinus mandshurica;46.768126;143.122218
Fraxinus mandshurica;46.968504;142.786877
Fraxinus mandshurica;46.781972;142.439718
