species;latitude;longitude
Filipendula camtschatica;46.432143;141.919038
Filipendula camtschatica;46.78524;141.936231
Filipendula camtschatica;46.965909;142.056295
Filipendula camtschatica;47.131105;142.087287
Filipendula camtschatica;47.260148;142.168524
Filipendula camtschatica;47.662139;142.103998
Filipendula camtschatica;47.76583;142.104629
Filipendula camtschatica;47.96339;142.251652
Filipendula camtschatica;48.153106;142.218197
Filipendula camtschatica;48.249597;142.198645
Filipendula camtschatica;48.381045;142.203513
Filipendula camtschatica;46.635902;142.394055
Filipendula camtschatica;46.455118;142.34212
Filipendula camtschatica;46.75578;142.237694
Filipendula camtschatica;46.782384;142.440712
Filipendula camtschatica;46.423366;143.358872
Filipendula camtschatica;46.613515;143.335125
Filipendula camtschatica;46.798732;143.059834
Filipendula camtschatica;46.905542;143.056563
Filipendula camtschatica;47.216903;143.011819
Filipendula camtschatica;46.839671;142.980988
Filipendula camtschatica;46.832959;142.551591
Filipendula camtschatica;46.945335;142.806772
Filipendula camtschatica;47.07499;142.663949
Filipendula camtschatica;47.242593;142.769041
Filipendula camtschatica;47.439752;142.422369
Filipendula camtschatica;47.056649;142.310264
Filipendula camtschatica;47.692953;142.54626
Filipendula camtschatica;47.29392;142.864925
Filipendula camtschatica;48.200048;142.522867
Filipendula camtschatica;47.928751;142.403247
Filipendula camtschatica;48.374771;142.581996
Filipendula camtschatica;48.581491;142.683635
Filipendula camtschatica;48.891274;142.876398
Filipendula camtschatica;54.156877;159.921554
Filipendula camtschatica;53.322464;157.505472
Filipendula camtschatica;54.992739;161.075712
Filipendula camtschatica;59.257836;163.064863
Filipendula camtschatica;54.087465;159.957001
Filipendula camtschatica;53.198484;158.351254
Filipendula camtschatica;52.981139;158.251098
Filipendula camtschatica;53.166417;158.254132
Filipendula camtschatica;55.392442;157.72938
Filipendula camtschatica;57.760065;158.476386
Filipendula camtschatica;43.907163;145.638353
Filipendula camtschatica;43.91367;145.655871
Filipendula camtschatica;46.246123;141.250611
Filipendula camtschatica;50.484146;155.852681
Filipendula camtschatica;53.069266;158.682375
Filipendula camtschatica;54.504459;160.000133
Filipendula camtschatica;57.104119;156.776228
Filipendula camtschatica;52.871003;157.893171
Filipendula camtschatica;51.096086;156.715682
Filipendula camtschatica;53.085145;158.294466
Filipendula camtschatica;53.007267;158.72698
Filipendula camtschatica;52.871773;157.339776
Filipendula camtschatica;53.355343;158.380094
Filipendula camtschatica;48.284901;142.620939
Filipendula camtschatica;46.058267;141.936504
