species;latitude;longitude
Abies holophylla;38.057089;128.598045
Abies holophylla;38.171895;128.474977
Abies holophylla;43.21666;131.96666
Abies holophylla;43.11;131.9
Abies holophylla;37.6;127.42
Abies holophylla;34.58;126.6
Abies holophylla;37.8;124.68
Abies holophylla;42.45;128.3
Abies holophylla;37.583333;128.816667
Abies holophylla;37.75;127.216667
Abies holophylla;37.783333;128.566667
Abies holophylla;37.766667;128.566667
Abies holophylla;43.842;126.545
Abies holophylla;37.56692;126.97853
Abies holophylla;39;125
Abies holophylla;42.45;128.3
Abies holophylla;43.86722;128.98944
Acer mono;38.16611;128.47111
Acer mono;35.80333;127.66806
Acer mono;28.48611;98.911543
Acer mono;29.496119;103.398589
Acer mono;27.177166;99.28717
Acer mono;29.496119;103.398589
Acer mono;29.496119;103.398589
Acer mono;30.196022;119.366283
Acer mono;26.876096;100.229945
Acer mono;29.496119;103.398589
Acer mono;27.82308;99.706013
Acer mono;27.177166;99.28717
Acer mono;29.671778;115.989221
Acer mono;30.066708;102.758313
Acer mono;29.496119;103.398589
Acer mono;36.088454;103.627971
Acer mono;33.976206;107.249372
Acer mono;34.054197;111.047906
Acer mono;33.976206;107.249372
Acer mono;33.976206;107.249372
Acer mono;27.243947;112.729951
Acer mono;30.196022;119.366283
Acer mono;32.308046;118.30841
Acer mono;34.566081;110.092299
Acer mono;33.976206;107.249372
Acer mono;34.054197;111.047906
Acer mono;31.92228;119.174162
Acer mono;33.976206;107.249372
Acer mono;33.976206;107.249372
Acer mono;34.054197;111.047906
Acer mono;35.529947;106.697534
Acer mono;29.157849;107.099276
Acer mono;34.566081;110.092299
Acer mono;33.976206;107.249372
Acer mono;34.054197;111.047906
Acer mono;36.088454;103.627971
Acer mono;30.196022;119.366283
Acer mono;29.157849;107.099276
Acer mono;30.196022;119.366283
Acer mono;34.054197;111.047906
Acer mono;30.066708;102.758313
Acer mono;29.157849;107.099276
Acer mono;30.911944;102.546111
Acer mono;34.566081;110.092299
Acer mono;33.976206;107.249372
Acer mono;34.568696;105.726028
Acer mono;32.055645;118.797741
Acer mono;30.272939;118.141565
Acer mono;30.196022;119.366283
Acer mono;32.308046;118.30841
Acer mono;36.088454;103.627971
Acer mono;29.61015;115.998105
Acer mono;33.976206;107.249372
Acer mono;32.308046;118.30841
Acer mono;29.61015;115.998105
Acer mono;32.637983;103.59895
Acer mono;32.308046;118.30841
Acer mono;29.157849;107.099276
Acer mono;33.976206;107.249372
Acer mono;33.222857;107.545509
