species;latitude;longitude
Giant herb;42.113601;143.271587
Giant herb;50.66413;156.095772
Giant herb;43.098118;131.558489
Giant herb;45.537141;136.060565
Giant herb;53.456248;141.971061
Giant herb;54.58188;135.150416
Giant herb;42.972479;131.730605
Giant herb;50.748306;142.489599
Giant herb;58.844246;163.90225
Giant herb;53.19412;158.396469
Giant herb;53.173509;158.271899
Giant herb;52.955039;158.265508
Giant herb;54.824146;160.069613
Giant herb;55.058498;161.881586
Giant herb;57.764038;158.475524
Giant herb;54.172708;158.002308
Giant herb;56.332168;160.798636
Giant herb;60.358392;165.763619
Giant herb;54.492235;160.003778
Giant herb;54.665439;160.792580
Giant herb;54.709118;167.705667
Giant herb;57.687993;158.773594
Giant herb;43.809441;146.719923
Giant herb;48.054088;153.25703
Giant herb;44.053441;145.751461
Giant herb;50.615647;142.843392
Giant herb;51.131317;142.686364
Giant herb;51.131317;142.686364
Giant herb;49.934834;143.265072
Giant herb;47.079288;142.579575
Giant herb;54.090493;142.646249
Giant herb;48.536403;142.09527
Giant herb;50.044087;142.18008
Giant herb;50.537886;142.173882
Giant herb;49.294266;142.873962
Giant herb;50.194879;142.672517
Giant herb;44.311492;141.770445
Giant herb;43.896146;141.748301
Giant herb;43.469832;143.129166
Giant herb;49.458548;142.843834
Giant herb;51.508536;156.998003
Giant herb;51.409477;157.05264
Giant herb;52.686581;158.166206
Giant herb;54.17;158.02
Giant herb;53.455083;141.966467
Giant herb;42.59805;131.20416
Giant herb;60.6338;86.61972
Giant herb;38.87;140.77
Giant herb;42.87;141.33
Giant herb;42.87;141.33
Giant herb;36.7978;139.375
Giant herb;36.8186;139.042
Giant herb;36.8147;139.119
Giant herb;36.7646;138.982
Giant herb;36.8317;139.17
Giant herb;36.5889;139.093
Giant herb;35.1741;139.091
Giant herb;35.4098;138.961
Giant herb;35.1241;139.053
Giant herb;34.8072;130.006
Giant herb;34.8072;139.006
Giant herb;36.4751;138.442
Giant herb;36.346;138.539
Giant herb;35.9515;138.477
Giant herb;36.4097;138.644
Giant herb;36.745;139.136
Giant herb;36.7744;139.069
Giant herb;36.8244;139.361
Giant herb;36.7247;139.018
Giant herb;36.7811;139.071
Giant herb;36.7919;139.093
Giant herb;53.455083;141.966467
Giant herb;36.4322;138.429
Giant herb;36.7289;139.029
Giant herb;36.8883;139.354
Giant herb;36.7683;139.183
Giant herb;35.4927;138.798
Giant herb;35.5015;138.033
Giant herb;35.9136;138.263
Giant herb;36.0085;139.084
Giant herb;36.0212;139.003
Giant herb;35.9891;139.104
Giant herb;36.0085;139.084
Giant herb;36.0212;139.003
Giant herb;36.0212;139.003
Giant herb;36.0085;139.084
Giant herb;36.0334;138.33
Giant herb;36.0212;139.003
Giant herb;36.0085;139.084
Giant herb;36.0293;138.982
Giant herb;36.0293;138.982
Giant herb;36.0085;139.084
Giant herb;36.0085;139.084
Giant herb;37.6756;140.071
Giant herb;37.7667;140.767
Giant herb;37.6725;140.089
Giant herb;37.6817;140.073
Giant herb;37.6647;140.125
Giant herb;36.7787;139.443
Giant herb;35.6574;139.128
Giant herb;35.4074;139.103
Giant herb;43.6547;143.164
Giant herb;35.9515;139.098
Giant herb;45.1805;141.241
Giant herb;35.1622;140.152
Giant herb;45.2453;141.21
Giant herb;35.8246;139.076
Giant herb;39.61;140.35
Giant herb;39.61;140.35
Giant herb;39.49;140.3
Giant herb;35.1658;139.091
Giant herb;35.2241;139.053
Giant herb;35.4408;138.966
Giant herb;35.6241;139.141
Giant herb;35.4324;139.216
Giant herb;35.4324;139.216
Giant herb;35.4824;139.191
Giant herb;35.2574;139.066
Giant herb;35.1575;139.116
Giant herb;35.1741;139.091
Giant herb;35.1575;139.053
Giant herb;35.2574;139.066
Giant herb;35.2074;139.041
Giant herb;35.2241;139.041
Giant herb;35.2158;138.978
Giant herb;35.2658;139.003
Giant herb;35.2658;139.003
Giant herb;35.2658;138.978
Giant herb;35.3324;139.041
Giant herb;35.3158;139.016
Giant herb;35.3908;139.103
Giant herb;35.4324;139.103
Giant herb;35.4574;139.053
Giant herb;35.3991;138.966
Giant herb;35.3991;138.941
Giant herb;35.5074;139.066
Giant herb;35.4074;138.916
Giant herb;35.3991;138.916
Giant herb;35.3991;138.916
Giant herb;35.5491;139.166
Giant herb;35.4907;139.091
Giant herb;36.6381;138.533
Giant herb;36.5461;139.172
Giant herb;36.8328;138.93
Giant herb;36.4114;138.643
Giant herb;36.5397;139.176
Giant herb;37.7167;140.067
Giant herb;37.6833;140.067
Giant herb;36.8306;139.074
Giant herb;36.7331;138.937
Giant herb;36.6378;138.51
Giant herb;36.7058;139.024
Giant herb;36.7058;139.024
Giant herb;36.8233;139.378
Giant herb;36.5422;138.476
Giant herb;36.4736;138.542
Giant herb;36.2158;138.592
Giant herb;36.8167;139.398
Giant herb;43.433333;144.1
Giant herb;46.611055;143.316649
Giant herb;46.641464;142.90271
Giant herb;47.646752;142.570319
Giant herb;48.713565;141.948363
Giant herb;48.837114;142.046022
Giant herb;49.076751;142.3614
Giant herb;49.429685;142.230823
Giant herb;49.67188;142.302368
Giant herb;49.688422;142.55251
Giant herb;49.942813;142.29716
Giant herb;50.095571;142.394862
Giant herb;49.201115;142.887446
Giant herb;48.881964;142.918601
Giant herb;46.616706;141.858359
Giant herb;46.550392;141.866908
Giant herb;46.741236;141.943553
Giant herb;46.852128;141.998265
Giant herb;47.574194;141.961315
Giant herb;47.704308;142.009494
Giant herb;47.904621;142.161498
Giant herb;48.664998;142.287168
Giant herb;48.69162;142.283766
Giant herb;49.24477;142.080464
Giant herb;49.273725;142.076885
Giant herb;49.634471;142.159102
Giant herb;47.61216;142.597545
Giant herb;51.262051;142.712115
Giant herb;46.042792;141.951428
Giant herb;46.363994;142.287197
Giant herb;46.625329;142.419291
Giant herb;46.783876;142.482256
Giant herb;46.890335;142.806317
Giant herb;46.987334;142.778164
Giant herb;47.243877;142.773568
Giant herb;47.324534;142.686364
Giant herb;47.363718;142.523584
Giant herb;50.118381;143.319545
Giant herb;50.598705;143.49018
Giant herb;47.118138;142.583217
Giant herb;50.915663;142.184762
Giant herb;50.645613;142.766952
Giant herb;44.671289;147.153475
Giant herb;44.600397;147.24143
Giant herb;44.018006;145.681475
Giant herb;42.597675;141.297464
Giant herb;42.597675;141.297464
Giant herb;42.389689;141.011017
Giant herb;44.760894;142.666673
Giant herb;43.984161;143.577155
Giant herb;44.036971;142.286104
Giant herb;43.300325;142.928495
Giant herb;42.617035;143.401058
Giant herb;41.059965;140.485847
Giant herb;46.758364;143.324428
Giant herb;46.437687;143.338693
Giant herb;47.217318;143.010827
Giant herb;43.989134;145.754075
Giant herb;47.296164;142.827884
Giant herb;43.916788;145.533093
Giant herb;44.776586;147.128648
Giant herb;46.758398;143.325361
Giant herb;47.079288;142.579575
Giant herb;45.495468;141.918325
Giant herb;45.49731;141.890643
Giant herb;45.473255;141.944964
Giant herb;45.448627;141.942833
Giant herb;45.310645;142.050971
Giant herb;45.29044;141.941444
Giant herb;44.75039;141.912442
Giant herb;44.702494;142.597769
Giant herb;44.44074;143.044814
Giant herb;44.311492;141.770445
Giant herb;43.896146;141.748301
Giant herb;43.743902;141.686002
Giant herb;43.771242;141.510396
Giant herb;43.688939;141.341092
Giant herb;43.540003;141.607853
Giant herb;43.479376;142.172186
Giant herb;43.473095;142.643806
Giant herb;43.413055;142.878637
Giant herb;43.441615;144.012502
Giant herb;44.056815;145.236818
Giant herb;43.976327;144.862368
Giant herb;43.966468;142.963077
Giant herb;44.495657;142.883819
Giant herb;43.3196;140.492426
