species;latitude;longitude
Petasites amplus;42.593806;142.952809
Petasites amplus;42.980631;142.731572
Petasites amplus;43.149586;144.510849
Petasites amplus;42.981714;144.597886
Petasites amplus;42.679639;142.002755
Petasites amplus;42.688975;141.548015
Petasites amplus;42.783462;141.007805
Petasites amplus;42.518533;140.924263
Petasites amplus;42.869056;140.551864
Petasites amplus;42.633202;140.546866
Petasites amplus;42.529165;140.239758
Petasites amplus;42.609515;140.004218
Petasites amplus;42.224524;139.516355
Petasites amplus;42.089993;139.474229
Petasites amplus;42.159831;139.996536
Petasites amplus;42.048739;140.489673
Petasites amplus;41.947581;140.4615
Petasites amplus;42.025829;140.199965
Petasites amplus;41.954593;140.515993
Petasites amplus;42.024308;140.808929
Petasites amplus;41.681587;140.05209
Petasites amplus;41.553817;140.256397
Petasites amplus;41.457774;140.140223
Petasites amplus;42.600456;142.979289
Petasites amplus;41.992759;143.228941
Petasites amplus;42.872399;142.142931
Petasites amplus;42.934958;141.15482
Petasites amplus;43.172819;140.468403
Petasites amplus;44.495657;142.883819
Petasites amplus;44.282068;143.31418
Petasites amplus;43.966468;142.963077
Petasites amplus;43.75851;143.991224
Petasites amplus;43.764005;144.794206
Petasites amplus;43.976327;144.862368
Petasites amplus;44.056815;145.236818
Petasites amplus;44.30406;145.334047
Petasites amplus;43.373223;145.737743
Petasites amplus;43.325544;145.615442
Petasites amplus;43.210274;145.493523
Petasites amplus;43.359749;145.268683
Petasites amplus;43.381251;144.859102
Petasites amplus;43.430961;144.409761
Petasites amplus;43.441615;144.012502
Petasites amplus;43.452464;143.820247
Petasites amplus;43.464356;143.343628
Petasites amplus;43.469832;143.129166
Petasites amplus;43.413055;142.878637
Petasites amplus;43.473095;142.643806
Petasites amplus;43.479376;142.172186
Petasites amplus;43.540003;141.607853
Petasites amplus;43.688939;141.341092
Petasites amplus;43.771242;141.510396
Petasites amplus;43.743902;141.686002
Petasites amplus;43.896146;141.748301
Petasites amplus;44.311492;141.770445
Petasites amplus;44.360818;142.289611
Petasites amplus;44.44074;143.044814
Petasites amplus;44.702494;142.597769
Petasites amplus;44.75039;141.912442
Petasites amplus;45.310645;142.050971
Petasites amplus;45.448627;141.942833
Petasites amplus;45.49731;141.890643
Petasites amplus;45.495468;141.918325
Petasites amplus;45.229857;141.183022
Petasites amplus;45.394582;141.042603
Petasites amplus;45.596941;149.463398
Petasites amplus;43.857635;146.835006
Petasites amplus;43.517008;146.149428
Petasites amplus;46.23628;141.23026
Petasites amplus;46.079398;141.993684
Petasites amplus;46.308218;141.947111
Petasites amplus;46.367938;142.245728
Petasites amplus;46.455435;142.341056
Petasites amplus;46.625681;142.417278
Petasites amplus;46.431495;141.941963
