species;var;State;latitude;longitude;Data
Picea jezoensis;hondoensis;JP;36.377;138.524;GBIF
Picea jezoensis;hondoensis;JP;41.3819;141.0683;GBIF
Picea jezoensis;hondoensis;JP;36.5492;138.3953;GBIF
Picea jezoensis;hondoensis;JP;36.786;139.5582;GBIF
Picea jezoensis;hondoensis;JP;35.7691;138.2615;GBIF
Picea jezoensis;hondoensis;JP;36.0193;138.3554;GBIF
Picea jezoensis;hondoensis;JP;35.7895;137.8046;GBIF
Picea jezoensis;hondoensis;JP;35.4429;137.5979;GBIF
Picea jezoensis;hondoensis;JP;35.4429;137.5979;GBIF
Picea jezoensis;hondoensis;JP;36.7816;137.8012;GBIF
Picea jezoensis;hondoensis;JP;36.107;137.5504;GBIF
Picea jezoensis;hondoensis;JP;34.1838;136.0889;GBIF
Picea jezoensis;hondoensis;JP;34.172;136.0955;GBIF
Picea jezoensis;hondoensis;JP;35.8649;138.811;GBIF
Picea jezoensis;hondoensis;JP;36.6399;138.5104;GBIF
Picea jezoensis;hondoensis;JP;36.5269;138.3319;GBIF
Picea jezoensis;hondoensis;JP;36.6399;138.5104;GBIF
Picea jezoensis;hondoensis;JP;36.819;139.3951;GBIF
Picea jezoensis;hondoensis;JP;35.3078;138.7587;GBIF
Picea jezoensis;hondoensis;JP;36.186;138.1266;GBIF
Picea jezoensis;hondoensis;JP;36.53842;138.41566;GBIF
Picea jezoensis;hondoensis;JP;36.819;139.3951;GBIF
Picea jezoensis;hondoensis;JP;35.9709;138.3702;GBIF
Picea jezoensis;hondoensis;JP;35.3692;138.1403;GBIF
Picea jezoensis;hondoensis;JP;35.3068;138.0523;GBIF
Picea jezoensis;hondoensis;JP;35.3068;138.0523;GBIF
Picea jezoensis;hondoensis;JP;35.3692;138.1403;GBIF
Picea jezoensis;hondoensis;JP;35.3382;138.0838;GBIF
Picea jezoensis;hondoensis;JP;35.3382;138.0838;GBIF
Picea jezoensis;hondoensis;JP;35.4972;138.2458;GBIF
Picea jezoensis;hondoensis;JP;35.414;138.5382;GBIF
Picea jezoensis;hondoensis;JP;35.3507;138.7349;GBIF
Picea jezoensis;hondoensis;JP;36.8839;139.3754;GBIF
