species;State;latitude;longitude;Data
Pinus koraiensis;KR;38.183333;127.4;GBIF
Pinus koraiensis;CN;40.008333;116.425;GBIF
Pinus koraiensis;JP;38.2493;140.3301;GBIF
Pinus koraiensis;JP;38.4176;140.45059;GBIF
Pinus koraiensis;JP;33.981291;134.290289;GBIF
Pinus koraiensis;JP;33.981291;134.290289;GBIF
Pinus koraiensis;JP;36.116667;136.666667;GBIF
Pinus koraiensis;JP;34.883333;135.6;GBIF
Pinus koraiensis;JP;36.45;137.433333;GBIF
Pinus koraiensis;JP;36.483333;137.633333;GBIF
Pinus koraiensis;JP;35.641111;139.698333;GBIF
Pinus koraiensis;JP;35.641111;139.698333;GBIF
Pinus koraiensis;JP;35.498173;137.994876;GBIF
Pinus koraiensis;JP;36;138.688889;GBIF
Pinus koraiensis;JP;36.14605;137.25186;GBIF
Pinus koraiensis;JP;36.14605;137.25186;GBIF
Pinus koraiensis;JP;36.14605;137.25186;GBIF
Pinus koraiensis;JP;36.14605;137.25186;GBIF
Pinus koraiensis;JP;36.30284;137.89966;GBIF
Pinus koraiensis;JP;35.8925;137.480556;GBIF
Pinus koraiensis;RU;43.587178;132.227211;GBIF
Pinus koraiensis;RU;48.21512;135.005799;GBIF
Pinus koraiensis;RU;43.167167;132.694829;GBIF
Pinus koraiensis;RU;43.587178;132.227211;GBIF
Pinus koraiensis;RU;43.01908;134.10775;GBIF
Pinus koraiensis;RU;43.18613;134.058008;GBIF
Pinus koraiensis;RU;43.244516;134.57658;GBIF
Pinus koraiensis;RU;48.836966;132.801128;GBIF
Pinus koraiensis;RU;43.137439;134.275338;GBIF
Pinus koraiensis;RU;48.077277;137.391952;GBIF
Pinus koraiensis;KR;38.18;127.4;GBIF
Pinus koraiensis;KR;38.18;127.4;GBIF
Pinus koraiensis;KR;37.60036;128.279972;GBIF
Pinus koraiensis;KR;37.459326;128.142815;GBIF
Pinus koraiensis;KR;37.456873;128.144531;GBIF
Pinus koraiensis;KR;37.459871;128.143158;GBIF
Pinus koraiensis;JP;35.066667;135.75;GBIF
Pinus koraiensis;RU;43.49187;133.67668;GBIF
Pinus koraiensis;RU;43.58864;132.46581;GBIF
Pinus koraiensis;RU;43.54887;132.42584;GBIF
Pinus koraiensis;RU;43.49187;133.67668;GBIF
Pinus koraiensis;RU;43.61065;132.50927;GBIF
Pinus koraiensis;RU;43.54887;132.42584;GBIF
