species;latitude;longitude
Abies holophylla;38.05709;128.59805
Abies holophylla;38.17190;128.47498
Abies holophylla;43.21666;131.96666
Abies holophylla;43.11000;131.90000
Abies holophylla;37.60000;127.42000
Abies holophylla;34.58000;126.60000
Abies holophylla;37.80000;124.68000
Abies holophylla;42.45000;128.30000
Abies holophylla;37.58333;128.81667
Abies holophylla;37.75000;127.21667
Abies holophylla;37.78333;128.56667
Abies holophylla;37.76667;128.56667
Abies holophylla;43.84200;126.54500
Abies holophylla;37.56692;126.97853
Abies holophylla;39.00000;125.00000
Abies holophylla;42.45000;128.30000
Abies holophylla;43.86722;128.98944
Abies holophylla;43.51290;131.49602
Abies holophylla;43.23629;131.30676
Abies holophylla;43.31606;131.43530
Abies holophylla;43.11202;131.44544
Abies holophylla;43.64669;132.43259
Abies holophylla;43.17955;132.77870
Abies holophylla;42.72420;131.51138
Abies holophylla;41.39680;128.21195
Abies holophylla;43.22144;131.99422
Abies holophylla;43.51290;131.49602
Abies holophylla;43.23629;131.30676
Abies holophylla;43.31606;131.43530
Abies holophylla;43.11202;131.44544
Abies holophylla;43.64669;132.43259
Abies holophylla;43.17955;132.77870
Abies holophylla;42.72420;131.51138
Abies holophylla;41.39680;128.21195
Abies holophylla;42.86340;133.80710
Abies holophylla;43.28730;131.60150
Abies holophylla;43.34590;131.60790
Abies holophylla;43.11920;132.70290
Abies holophylla;43.22080;131.99460
Abies holophylla;43.22070;131.98580
Abies holophylla;43.22160;132.03700
Abies holophylla;43.19690;132.03490
Abies holophylla;43.63380;132.41350
Abies holophylla;43.64380;132.43720
Abies holophylla;43.60520;132.39230
Acer mono;46.64964;141.86853
Acer mono;48.93555;142.21007
Acer mono;46.30085;143.38567
Acer mono;50.90845;142.67545
Acer mono;48.94601;142.20629
Acer mono;49.44688;142.12843
Acer mono;47.75466;142.06079
Acer mono;46.59776;143.06831
Acer mono;46.91654;143.09071
Acer mono;46.97598;142.77612
Acer mono;46.04917;141.94048
Acer mono;50.59913;143.42039
Acer mono;45.23687;147.91793
Acer mono;43.89239;145.57515
Acer mono;43.88380;145.50680
Acer mono;46.44414;143.34699
Acer mono;40.45000;140.82000
Acer mono;46.22760;141.23652
Acer mono;47.24065;142.77980
Acer mono;47.09605;142.06505
Acer mono;50.90510;142.19681
Acer mono;48.81898;141.91271
Acer mono;48.44731;142.12588
Acer mono;48.05131;142.52066
Acer mono;46.24232;141.23017
Acer mono;45.27310;148.00669
Acer mono;43.86065;146.82240
Acer mono;44.01289;145.80251
Acer mono;38.16611;128.47111
Acer mono;35.80333;127.66806
Acer mono;28.48611;98.91154
Acer mono;29.49612;103.39859
Acer mono;27.17717;99.28717
Acer mono;29.49612;103.39859
Acer mono;29.49612;103.39859
Acer mono;30.19602;119.36628
Acer mono;26.87610;100.22995
Acer mono;29.49612;103.39859
Acer mono;27.82308;99.70601
Acer mono;27.17717;99.28717
Acer mono;29.67178;115.98922
Acer mono;30.06671;102.75831
Acer mono;29.49612;103.39859
Acer mono;36.08845;103.62797
Acer mono;33.97621;107.24937
Acer mono;34.05420;111.04791
Acer mono;33.97621;107.24937
Acer mono;33.97621;107.24937
Acer mono;27.24395;112.72995
Acer mono;30.19602;119.36628
Acer mono;32.30805;118.30841
Acer mono;34.56608;110.09230
Acer mono;33.97621;107.24937
Acer mono;34.05420;111.04791
Acer mono;31.92228;119.17416
Acer mono;33.97621;107.24937
Acer mono;33.97621;107.24937
Acer mono;34.05420;111.04791
Acer mono;35.52995;106.69753
Acer mono;29.15785;107.09928
Acer mono;34.56608;110.09230
Acer mono;33.97621;107.24937
Acer mono;34.05420;111.04791
Acer mono;36.08845;103.62797
Acer mono;30.19602;119.36628
Acer mono;29.15785;107.09928
Acer mono;30.19602;119.36628
Acer mono;34.05420;111.04791
Acer mono;30.06671;102.75831
Acer mono;29.15785;107.09928
Acer mono;30.91194;102.54611
Acer mono;34.56608;110.09230
Acer mono;33.97621;107.24937
Acer mono;34.56870;105.72603
Acer mono;32.05565;118.79774
Acer mono;30.27294;118.14157
Acer mono;30.19602;119.36628
Acer mono;32.30805;118.30841
Acer mono;36.08845;103.62797
Acer mono;29.61015;115.99811
Acer mono;33.97621;107.24937
Acer mono;32.30805;118.30841
Acer mono;29.61015;115.99811
Acer mono;32.63798;103.59895
Acer mono;32.30805;118.30841
Acer mono;29.15785;107.09928
Acer mono;33.97621;107.24937
