species;latitude;longitude
Angelica ursina;41.50916;140.91342
Angelica ursina;39.797026;140.310811
Angelica ursina;40.3034;140.7612
Angelica ursina;39.122;139.9919
Angelica ursina;39.960742;139.823561
Angelica ursina;39.960742;139.823561
Angelica ursina;39.960742;139.823561
Angelica ursina;44.355833;142.463056
Angelica ursina;40.2211;141.039262
Angelica ursina;43.177;140.939
Angelica ursina;43.168;140.993
Angelica ursina;43.123;141.035
Angelica ursina;43.237;140.989
Angelica ursina;43.189;140.915
Angelica ursina;43.196;140.915
Angelica ursina;46.38625;143.608467
Angelica ursina;53.25;156.85
Angelica ursina;53.25;156.85
Angelica ursina;46.38625;143.608467
Angelica ursina;46.38625;143.608467
Angelica ursina;;
Angelica ursina;45.245251;141.20981
Angelica ursina;45.138889;142.109444
Angelica ursina;42.039017;143.286487
Angelica ursina;45.088063;141.637559
Angelica ursina;42.88744;140.620828
Angelica ursina;45.065849;141.705604
Angelica ursina;39.72535;140.1263
Angelica ursina;39.72535;140.1263
Angelica ursina;39.72535;140.1263
Angelica ursina;37.50443;139.86722
Angelica ursina;36.226111;140.102778
Angelica ursina;41.142;140.402
Angelica ursina;36.226111;140.102778
Artemisia montana;39.71324;140.13914
Artemisia montana;36.71417;139.64316
Artemisia montana;36.71417;139.64316
Artemisia montana;36.45;137.083333
Artemisia montana;36.483333;137.05
Artemisia montana;36.483333;137.05
Artemisia montana;36.633333;137.55
Artemisia montana;43.75886;142.92166
Artemisia montana;43.45053;144.24702
Artemisia montana;42.78509;143.71294
Artemisia montana;43.43455;144.10109
Artemisia montana;36.733333;137.583333
Artemisia montana;36.416667;137.433333
Artemisia montana;35.7;138.35
Artemisia montana;36.783333;137.566667
Artemisia montana;36.716667;137.55
Artemisia montana;36.466667;136.933333
Artemisia montana;36.65;137.466667
Artemisia montana;36.266667;137.016667
Artemisia montana;36.4;137.133333
Artemisia montana;36.783333;137.6
Artemisia montana;36.766667;137.616667
Artemisia montana;35.95;137.466667
Artemisia montana;36.466667;137.466667
Artemisia montana;36.566667;137.566667
Artemisia montana;36.466667;137.016667
Artemisia montana;36.5;137.15
Artemisia montana;36.433333;136.916667
Artemisia montana;36.716667;137.55
Artemisia montana;36.4;137.3
Artemisia montana;36.45;137.083333
Artemisia montana;36.983333;137.683333
Artemisia montana;36.083333;138.166667
Artemisia montana;36.65;137.4
Artemisia montana;36.683333;137.666667
Artemisia montana;36.483333;137.633333
Artemisia montana;36.533333;137.65
Artemisia montana;36.566667;137.5
Artemisia montana;36.416667;137.033333
Artemisia montana;36.416667;137.033333
