species;latitude;longitude
Heracleum lanatum;46.868201;138.416804
Heracleum lanatum;47.9848;139.450142
Heracleum lanatum;48.496922;138.234612
Heracleum lanatum;48.91684;140.18176
Heracleum lanatum;50.71712;140.382233
Heracleum lanatum;53.024164;140.819454
Heracleum lanatum;53.11733;141.199649
Heracleum lanatum;53.668405;138.656574
Heracleum lanatum;54.799747;137.71484
Heracleum lanatum;54.691843;135.3249
Heracleum lanatum;54.641595;135.057795
Heracleum lanatum;54.658517;135.163195
Heracleum lanatum;54.560331;135.154955
Heracleum lanatum;55.696252;136.727892
Heracleum lanatum;55.832425;137.021605
Heracleum lanatum;55.982751;137.339522
Heracleum lanatum;56.824884;138.391806
Heracleum lanatum;59.35563;143.061459
Heracleum lanatum;59.473227;143.063519
Heracleum lanatum;55.263757;166.0061
Heracleum lanatum;54.846447;166.519371
Heracleum lanatum;58.833997;163.909378
Heracleum lanatum;50.807345;155.607505
Heracleum lanatum;50.762652;156.287478
Heracleum lanatum;49.601244;154.858621
