species;latitude;longitude
giant;47.76583;142.104629
giant;47.96339;142.251652
giant;48.153106;142.218197
giant;48.381045;142.203513
giant;46.423366;143.358872
giant;46.905542;143.056563
giant;46.839671;142.980988
giant;48.200048;142.522867
giant;48.374771;142.581996
giant;48.891274;142.876398
giant;54.156877;159.921554
giant;53.322464;157.505472
giant;54.992739;161.075712
giant;54.087465;159.957001
giant;53.198484;158.351254
giant;52.981139;158.251098
giant;53.166417;158.254132
giant;55.392442;157.72938
giant;43.907163;145.638353
giant;43.91367;145.655871
giant;50.484146;155.852681
giant;53.069266;158.682375
giant;54.504459;160.000133
giant;52.871003;157.893171
giant;51.096086;156.715682
giant;53.085145;158.294466
giant;53.007267;158.72698
giant;52.871773;157.339776
giant;53.355343;158.380094
giant;50.761677;142.616912
giant;50.110615;143.32255
giant;50.38289;143.759772
giant;50.607379;143.695939
giant;50.581565;143.553031
giant;50.602218;143.418362
giant;51.29846;143.068559
giant;49.756712;142.835441
giant;49.077865;142.940612
giant;50.666607;143.085685
giant;52.655609;158.224635
giant;46.849954;151.865219
giant;44.29409;145.290187
giant;45.364986;141.050151
giant;45.223713;141.225246
giant;45.405872;141.894725
giant;44.975694;142.321819
giant;44.435828;141.409267
giant;44.297432;141.750985
giant;44.87644;141.801797
giant;44.725119;142.123147
giant;44.513259;142.985574
giant;43.946479;141.686441
giant;43.829283;141.650735
giant;43.584211;141.411782
giant;43.886917;142.419778
giant;43.733765;142.581826
giant;43.319002;140.485941
giant;42.21413;139.499918
giant;42.224338;139.909159
giant;42.469959;141.142396
giant;42.412998;140.925416
giant;42.939916;141.480225
giant;42.504772;142.033662
giant;42.02433;143.161133
giant;42.298155;142.709321
giant;42.975472;142.806824
giant;42.723867;142.72168
giant;42.775484;143.509263
giant;42.948239;144.01875
giant;43.060117;144.215134
giant;43.181841;144.064072
giant;43.334404;144.109391
giant;43.483583;144.554337
giant;43.017809;144.88118
giant;43.214996;145.468949
giant;43.842487;145.032242
giant;44.033019;144.222
giant;43.870311;143.826493
giant;44.025092;143.381547
giant;43.03796;141.263932
giant;43.327387;142.733353
giant;43.901349;142.58332
giant;41.765588;141.001384
giant;42.048723;140.789897
giant;41.64003;140.366924
giant;41.788203;140.086772
giant;41.732678;140.454814
giant;42.477153;139.889018
giant;42.483253;140.095012
giant;42.480203;140.317485
giant;45.622898;149.476675
giant;47.140466;152.26611
giant;47.517597;152.809149
giant;48.054088;153.25703
giant;49.608525;154.841111
giant;50.66413;156.095772
giant;45.110203;147.700752
giant;44.200392;145.990413
giant;44.271932;146.159639
giant;44.931901;147.560717
giant;45.208608;147.928378
giant;45.031858;147.772224
giant;50.859539;142.176612
giant;50.615647;142.843392
giant;51.131317;142.686364
giant;49.934834;143.265072
giant;54.090493;142.646249
giant;43.861646;146.820464
giant;48.536403;142.09527
giant;50.044087;142.18008
giant;50.537886;142.173882
giant;49.294266;142.873962
giant;50.194879;142.672517
giant;50.702451;156.315123
giant;43.639356;146.311287
giant;43.896146;141.748301
giant;43.764005;144.794206
giant;44.282068;143.31418
giant;44.600397;147.24143
giant;45.083779;147.989982
giant;53.25;156.85
giant;43.67;144.33
giant;39.7042;140.381
giant;40.1224;140.455
giant;40.4278;140.984
giant;39.5368;140.691
giant;40.09;140.79
giant;40.0581;140.445
giant;40.2786;140.529
