species;latitude;longitude
Picea jezoensis;36.377;138.524
Picea jezoensis;41.3819;141.0683
Picea jezoensis;36.5492;138.3953
Picea jezoensis;36.786;139.5582
Picea jezoensis;35.7691;138.2615
Picea jezoensis;36.0193;138.3554
Picea jezoensis;35.7895;137.8046
Picea jezoensis;35.4429;137.5979
Picea jezoensis;35.4429;137.5979
Picea jezoensis;36.7816;137.8012
Picea jezoensis;36.107;137.5504
Picea jezoensis;34.1838;136.0889
Picea jezoensis;34.172;136.0955
Picea jezoensis;35.8649;138.811
Picea jezoensis;36.6399;138.5104
Picea jezoensis;36.5269;138.3319
Picea jezoensis;36.6399;138.5104
Picea jezoensis;36.819;139.3951
Picea jezoensis;35.3078;138.7587
Picea jezoensis;36.186;138.1266
Picea jezoensis;36.53842;138.41566
Picea jezoensis;36.819;139.3951
Picea jezoensis;35.9709;138.3702
Picea jezoensis;35.3692;138.1403
Picea jezoensis;35.3068;138.0523
Picea jezoensis;35.3068;138.0523
Picea jezoensis;35.3692;138.1403
Picea jezoensis;35.3382;138.0838
Picea jezoensis;35.3382;138.0838
Picea jezoensis;35.4972;138.2458
Picea jezoensis;35.414;138.5382
Picea jezoensis;35.3507;138.7349
Picea jezoensis;36.8839;139.3754
Picea jezoensis;35.2966;138.6648
Picea jezoensis;35.2355;138.0411
Picea jezoensis;35.3071;138.0983
Picea jezoensis;36.8839;139.3754
Picea jezoensis;36.6664;138.5344
Picea jezoensis;35.3507;138.7349
Picea jezoensis;35.4017;138.4952
Picea jezoensis;36.9161;139.3048
Picea jezoensis;36.473611;137.479167
Picea jezoensis;35.5629;138.1032
Picea jezoensis;35.3176;138.728
Picea jezoensis;36.8100000360299;139.35
Picea jezoensis;36.8100000360299;139.37
Picea jezoensis;36.8100000360299;139.36
Picea jezoensis;36.8100000360299;139.36
Picea jezoensis;36.8000000360186;139.37
Picea jezoensis;42.5200000404535;142.98
Picea jezoensis;42.5200000404535;142.98
Picea jezoensis;42.5100000404497;142.96
Picea jezoensis;36.6900000358931;139.339999999999
Picea jezoensis;36.6900000358931;139.339999999999
Picea jezoensis;36.6900000358931;139.339999999999
Picea jezoensis;35.8800000349295;138.95
Picea jezoensis;35.8800000349295;138.95
Picea jezoensis;42.690000040516;142.68
Picea jezoensis;42.4400000404226;142.89
Picea jezoensis;42.8100000405575;142.47
Picea jezoensis;42.8300000405642;142.669999999999
Picea jezoensis;35.7000000347062;138.86
Picea jezoensis;35.7000000347062;138.86
Picea jezoensis;35.7000000347062;138.86
Picea jezoensis;35.7300000347436;138.85
Picea jezoensis;35.7300000347436;138.86
Picea jezoensis;35.7200000347312;138.86
Picea jezoensis;35.8600000349049;138.94
Picea jezoensis;35.8600000349049;138.94
Picea jezoensis;35.8400000348802;138.95
Picea jezoensis;35.8600000349049;138.94
Picea jezoensis;35.8600000349049;138.94
Picea jezoensis;42.6300000404944;142.83
Picea jezoensis;42.6300000404944;142.85
Picea jezoensis;42.6300000404944;142.83
Picea jezoensis;42.7400000405335;142.78
Picea jezoensis;42.7400000405335;142.79
Picea jezoensis;42.5900000404797;142.83
Picea jezoensis;42.8200000405608;142.77
Picea jezoensis;42.6000000404834;142.96
Picea jezoensis;42.5900000404797;142.85
Picea jezoensis;42.73000004053;142.85
Picea jezoensis;42.8000000405541;142.52
Picea jezoensis;42.6700000405088;142.57
Picea jezoensis;42.6100000404871;142.42
Picea jezoensis;42.7900000405507;142.56
Picea jezoensis;42.6200000404907;142.54
Picea jezoensis;42.6100000404871;142.55
Picea jezoensis;47.998467;142.899033
Picea jezoensis;47.998467;142.899033
Picea jezoensis;47.9985;142.899
Picea jezoensis;38.18563;140.18917
Picea jezoensis;38.5353;139.9582
Picea jezoensis;34.1825;136.101389
Picea jezoensis;35.876111;138.180833
Picea jezoensis;34.174722;136.105
Picea jezoensis;35.72;138.183333
Picea jezoensis;36.53;139.23
Picea jezoensis;36.11;136.55
Picea jezoensis;35.883333;138.166667
Picea jezoensis;36.45;137.316667
Picea jezoensis;36.45;137.316667
Picea jezoensis;36.45;137.316667
Picea jezoensis;36.533333;137.633333
Picea jezoensis;36.25;137.6
Picea jezoensis;36.4;137.133333
Picea jezoensis;36.55;137.55
Picea jezoensis;36.75;137.75
Picea jezoensis;36.483333;137.633333
Picea jezoensis;36.783333;137.566667
Picea jezoensis;36.7;137.566667
Picea jezoensis;35.975278;137.946389
Picea jezoensis;35.973833;138.364222
Picea jezoensis;35.935124;138.24449
Picea jezoensis;35.270844;138.616364
Picea jezoensis;35.251797;138.643822
Picea jezoensis;35.401827;138.557527
Picea jezoensis;36.822222;139.446667
Picea jezoensis;36.817778;139.453611
Picea jezoensis;36.656389;138.548333
Picea jezoensis;36.051944;138.363611
Picea jezoensis;36.775;139.358333
Picea jezoensis;36.002778;138.683889
Picea jezoensis;36.754167;139.063889
Picea jezoensis;36.683056;139.31
Picea jezoensis;36.824444;139.360556
Picea jezoensis;36.8525;139.348333
Picea jezoensis;36.886667;139.270833
Picea jezoensis;36.8475;139.335833
Picea jezoensis;36.6375;139.328333
Picea jezoensis;36.799722;139.348611
Picea jezoensis;36.651944;139.327222
Picea jezoensis;36.892222;139.370278
Picea jezoensis;36.929722;139.290833
Picea jezoensis;36.618056;138.527778
Picea jezoensis;36.541667;138.412778
Picea jezoensis;36.466111;138.593889
Picea jezoensis;35.54695;138.03993
Picea jezoensis;35.54695;138.03993
Picea jezoensis;35.51426;137.82173
Picea jezoensis;35.59853;137.90976
Picea jezoensis;35.51426;137.82173
Picea jezoensis;35.54695;138.03993
Picea jezoensis;35.44656;137.74905
Picea jezoensis;35.51426;137.82173
Picea jezoensis;36.80624;138.20679
Picea jezoensis;35.59853;137.90976
Picea jezoensis;35.44656;137.74905
Picea jezoensis;39.31153;140.55292
Picea jezoensis;39.79977;140.22009
Picea jezoensis;39.79977;140.22009
Picea jezoensis;39.79977;140.22009
Picea jezoensis;39.79977;140.22009
Picea jezoensis;39.79977;140.22009
Picea jezoensis;39.79977;140.22009
Picea jezoensis;43.4856;144.4592
Picea jezoensis;39.79977;140.22009
Picea jezoensis;39.79977;140.22009
Picea jezoensis;42.95581;144.07153
Picea jezoensis;35.99528;138.15862
Picea jezoensis;35.6515;138.79738
Picea jezoensis;35.6515;138.79738
Picea jezoensis;35.82707;137.95355
Picea jezoensis;35.70887;138.44705
Picea jezoensis;35.70887;138.44705
Picea jezoensis;35.70887;138.44705
Picea jezoensis;36.51491;138.52658
Picea jezoensis;35.50053;138.76135
Picea jezoensis;42.31548;140.97348
Picea jezoensis;42.31548;140.97348
Picea jezoensis;42.31548;140.97348
Picea jezoensis;36.23799;137.97145
Picea jezoensis;37.02769;139.38788
Picea jezoensis;36.00384;137.54054
Picea jezoensis;36.40219;138.24918
Picea jezoensis;36.06525;137.66879
Picea jezoensis;36.06525;137.66879
Picea jezoensis;36.549;138.395
Picea jezoensis;43.178;140.861
Picea jezoensis;43.14;140.933
Picea jezoensis;43.123;141.035
Picea jezoensis;43.237;140.989
Picea jezoensis;43.674657;142.907239
Picea jezoensis;43.38571;142.55232
Picea jezoensis;35.876111;138.180833
Picea jezoensis;34.174722;136.105
Picea jezoensis;34.1825;136.101389
Picea jezoensis;43.34333;133.65638
Picea jezoensis;43.49416;133.57833
Picea jezoensis;42.786504;128.514494
Picea jezoensis;41.812003;126.91814
Picea jezoensis;43.622609;128.346866
Picea jezoensis;46.809805;129.814957
Picea jezoensis;42.72;141.25
Picea jezoensis;35.37;138.73
Picea jezoensis;43.77;142.5
Picea jezoensis;35.2;139.02
Picea jezoensis;44.2;142.13
Picea jezoensis;39.75;140.8
Picea jezoensis;45.27;142.2
Picea jezoensis;45.18;141.25
Picea jezoensis;42.42;142.58
Picea jezoensis;35.33;127.73
Picea jezoensis;55.77;160.23
Picea jezoensis;45.27;142.2
Picea jezoensis;40.02;125.75
Picea jezoensis;50;143
Picea jezoensis;55.77;160.23
Picea jezoensis;56.43;137.17
Picea jezoensis;56.43;137.17
Picea jezoensis;34.1825;136.101278
Picea jezoensis;36.883301;139.383
Picea jezoensis;54.355717;142.66905
Picea jezoensis;54.338333;142.644817
Picea jezoensis;36.433333;138.366667
Picea jezoensis;35.866667;137.5
Picea jezoensis;54.883333;158.833333
Picea jezoensis;42.833333;130.333333
Picea jezoensis;42.699694;141.569861
Picea jezoensis;36.811722;139.375389
Picea jezoensis;42.3;128.083333
Picea jezoensis;54.883333;158.833333
Picea jezoensis;45.016667;141.916667
Picea jezoensis;43.416667;144.1
Picea jezoensis;35.316667;127.566667
Picea jezoensis;56;160.166667
Picea jezoensis;43.366667;142.383333
Picea jezoensis;46.641333;142.91025
Picea jezoensis;47.4282;142.768667
Picea jezoensis;47.4282;142.768667
Picea jezoensis;46.976233;142.81855
Picea jezoensis;47.25205;142.805733
Picea jezoensis;35.20785;139.07013
Picea jezoensis;44.35377;146.10599
Picea jezoensis;43.06934;141.34804
Picea jezoensis;44.34072;129.48285
Picea jezoensis;45.521;141.937
Picea jezoensis;44.36802;146.23273
Picea jezoensis;35.35887;138.72997
Picea jezoensis;50.58889;135
Picea jezoensis;55.33751;159.44472
Picea jezoensis;35.36055;138.72778
Picea jezoensis;54.60351;127.48017
Picea jezoensis;56.89859;159.69238
Picea jezoensis;51;143
Picea jezoensis;44.122;145.854
Picea jezoensis;52.17902;141.50488
Picea jezoensis;41.28773;141.22336
Picea jezoensis;43.0621;141.35437
Picea jezoensis;40.6025;140.42555
Picea jezoensis;42.98486;144.38136
Picea jezoensis;42.99352;144.39331
Picea jezoensis;43.05;141.35
Picea jezoensis;42.88334;140.65
Picea jezoensis;35.43333;139.63333
Picea jezoensis;51;143
Picea jezoensis;41.7794;140.7364
Picea jezoensis;43.0475;141.3555
Picea jezoensis;43.451659;144.097165
Picea jezoensis;35.548333;138.118889
Picea jezoensis;45.138889;142.109444
Picea jezoensis;45.138889;142.109444
Picea jezoensis;45.245251;141.20981
