species	latitude	longitude
Quercus mongolica	50.43358752	127.6426666
Quercus mongolica	50.44408333	127.6509064
Quercus mongolica	51.59045246	126.740157
Quercus mongolica	51.58445303	126.7637604
Quercus mongolica	49.85981201	127.6481598
Quercus mongolica	49.85981201	127.6481598
Quercus mongolica	43.56883949	131.3272929
Quercus mongolica	43.56883949	131.3272929
Quercus mongolica	43.57740068	131.3541938
Quercus mongolica	43.60729004	131.399244
Quercus mongolica	43.60729004	131.399244
Quercus crispula	46.595596	141.83703
Quercus crispula	46.156416	141.925081
Quercus crispula	43.916268	145.527694
Quercus crispula	46.65873	141.876455
Quercus crispula	46.570836	141.853179
Quercus crispula	43.880018	145.471522
Quercus crispula	43.994726	145.651768
Quercus crispula	46.435882	141.853767
Quercus crispula	47.410487	142.794932
Quercus crispula	46.79187	143.316364
Quercus crispula	46.443911	143.345358
Quercus crispula	43.737116	145.463296
Quercus crispula	47.99383	142.197384
Quercus crispula	46.155176	143.411375
Quercus crispula	46.463649	142.345811
Quercus crispula	49.74283	142.969125
Quercus mongolica	42.968351	131.725755
Quercus mongolica	43.111105	132.008119
Quercus mongolica	42.763727	132.33729
Quercus mongolica	43.092102	131.556436
Quercus mongolica	42.791244	131.259839
Quercus mongolica	43.902393	131.319331
Quercus mongolica	45.130007	132.023466
Quercus mongolica	44.666859	131.801036
Quercus mongolica	44.45555	131.363697
Quercus mongolica	42.833312	133.003116
Quercus mongolica	43.042807	133.184393
Quercus mongolica	43.873996	132.016485
Quercus mongolica	45.21487	133.527194
Quercus mongolica	42.927318	132.387407
Quercus mongolica	46.468269	134.280303
Quercus mongolica	43.765428	135.29064
Quercus mongolica	44.373453	134.48216
Quercus mongolica	44.076836	134.033977
Quercus mongolica	43.132902	134.288795
Quercus mongolica	43.069014	134.177438
Quercus mongolica	44.564039	135.573681
Quercus mongolica	43.063953	131.833361
Quercus mongolica	43.220029	131.98678
Quercus mongolica	50.404134	127.729623
Quercus mongolica	49.097289	130.803003
Quercus mongolica	42.581811	131.207345
Quercus mongolica	42.656625	130.799786
Quercus mongolica	50.626211	137.017288
Quercus mongolica	48.616566	135.07825
Quercus mongolica	50.880264	132.972253
Quercus mongolica	48.577007	130.642903
Quercus mongolica	47.312141	142.820414
Quercus mongolica	46.731838	142.766223
Quercus mongolica	47.044227	142.06051
Quercus mongolica	50.594562	143.503584
Quercus mongolica	46.992107	142.816407
Quercus mongolica	46.598426	143.078886
Quercus mongolica	47.810807	142.087263
Quercus mongolica	48.842803	141.938515
Quercus mongolica	50.618035	142.69412
Quercus mongolica	46.891151	142.267303
Quercus crispula Blume	42.59805	131.20416
Quercus crispula Blume	43.864259	145.516155
Quercus crispula Blume	43.902773	145.632388
Quercus crispula Blume	45.241179	147.898625
Quercus crispula Blume	44.999981	147.749662
Quercus mongolica	52.240163	129.664377
Quercus mongolica	51.464522	126.806948
Quercus mongolica	48.350731	135.030864
Quercus mongolica	42.46646	130.918625
Quercus mongolica	49.437994	136.806147
Quercus mongolica	44.338035	135.060601
Quercus mongolica	44.405567	135.396523
Quercus mongolica	44.365531	135.820294
Quercus mongolica	43.961013	131.457187
Quercus mongolica	53.950017	127.437878
Quercus crispula	34.516667	136.166667
Quercus crispula	34.516667	136.166667
Quercus crispula	33.570333	133.054583
Quercus crispula	36.0053	139.563
Quercus crispula	36.0053	139.563
Quercus crispula	36.0053	139.563
Quercus crispula	36.0053	139.563
Quercus crispula	36.0053	139.563
Quercus crispula	36.0053	139.563
Quercus crispula	36.0053	139.563
Quercus crispula	36.0234	139.205
Quercus crispula	36.0234	139.205
Quercus crispula	36.0234	139.205
Quercus crispula	36.0234	139.205
Quercus crispula	36.0234	139.205
Quercus crispula	36.0234	139.205
Quercus crispula	48.45365	142.060067
Quercus crispula		
Quercus crispula	36.0212	139.003
Quercus crispula	36.5256	139.59
Quercus crispula	36.0085	139.084
Quercus crispula	36.0085	139.084
Quercus crispula	36.0085	139.084
Quercus crispula	36.0085	139.084
Quercus crispula	36.0212	139.003
Quercus crispula	36.0085	139.084
Quercus crispula	36.0293	138.982
Quercus crispula	36.0085	139.084
Quercus crispula	36.0212	139.003
Quercus crispula	36.0085	139.084
Quercus crispula	36.0212	139.003
Quercus crispula	36.0085	139.084
Quercus crispula	36.0212	139.003
Quercus crispula	36.05	138.464
Quercus crispula	35.9421	139.321
Quercus crispula	36.05	138.464
Quercus crispula	36.0334	138.33
Quercus crispula	36.1212	138.555
Quercus crispula	36.0085	139.084
Quercus crispula	36.2133	138.785
Quercus crispula	36.05	138.464
Quercus crispula	36.0085	139.084
Quercus crispula	36.0085	139.084
Quercus crispula	35.9891	139.104
Quercus crispula	36.0212	139.003
Quercus crispula	36.0085	139.084
Quercus crispula	36.0085	139.084
Quercus crispula	36.0085	139.084
Quercus crispula	36.0085	139.084
Quercus crispula	35.9891	139.104
Quercus crispula	35.9891	139.104
Quercus crispula	36.0085	139.084
Quercus crispula	36.0293	138.982
Quercus crispula	36.0293	138.982
Quercus crispula	36.0293	138.982
Quercus crispula	36.0085	139.084
Quercus crispula	36.0085	139.084
Quercus crispula	36.0085	139.084
Quercus crispula	37.6756	140.071
Quercus crispula	37.6756	140.071
Quercus crispula	37.6756	140.071
Quercus crispula	40.6833	140.9
Quercus crispula	37.5131	140.026
Quercus crispula	37.6828	140.066
Quercus crispula	37.6825	140.073
Quercus crispula	37.6647	140.125
Quercus crispula	37.6603	140.11
Quercus crispula	37.7739	140
Quercus crispula	37.7756	140.681
Quercus crispula	37.7672	140.691
Quercus crispula	37.7672	140.691
Quercus crispula	37.7667	140.5
Quercus crispula	37.7994	140.782
Quercus crispula	35.4079	133.9891
Quercus crispula	35.4079	133.9891
Quercus crispula	35.4079	133.9891
Quercus crispula	35.684217	139.48128
Quercus crispula	34.839652	137.522213
Quercus crispula	35.667495	139.316061
Quercus crispula	35.855278	138.943611
Quercus crispula	35.646341	139.215729
Quercus crispula	35.646341	139.215729
Quercus crispula	35.783333	139.15
Quercus crispula	35.646756	139.272852
Quercus crispula	35.646756	139.272852
Quercus crispula	35.621041	139.228411
Quercus crispula	35.646756	139.272852
Quercus crispula	35.95014	138.33503
Quercus crispula	36.758611	137.758611
Quercus crispula	36.758611	137.758611
Quercus crispula	35.86421	138.98962
Quercus crispula	35.86421	138.98962
Quercus crispula	35.86421	138.98962
Quercus crispula	35.95014	138.33503
Quercus crispula	35.95014	138.33503
Quercus crispula	35.86421	138.98962
Quercus crispula	36.35263	138.73766
Quercus crispula	36.35263	138.73766
Quercus crispula	36.35263	138.73766
Quercus crispula	36.560278	139.193056
Quercus crispula	36.560278	139.193056
