species;latitude;longitude
Fagopyrum esculentum;22.352778;103.775
Fagopyrum esculentum;22.653799;108.310905
Fagopyrum esculentum;22.792186;103.086573
Fagopyrum esculentum;22.929376;112.044025
Fagopyrum esculentum;22.99417;102.392353
Fagopyrum esculentum;23.6675;120.786389
Fagopyrum esculentum;23.695857;109.213028
Fagopyrum esculentum;23.932672;112.199131
Fagopyrum esculentum;24.014444;121.114444
Fagopyrum esculentum;24.030278;120.930833
Fagopyrum esculentum;24.119167;120.666389
Fagopyrum esculentum;24.164081;107.205169
Fagopyrum esculentum;24.175587;110.235565
Fagopyrum esculentum;24.186045;113.415062
Fagopyrum esculentum;24.369586;114.488708
Fagopyrum esculentum;24.399048;113.987821
Fagopyrum esculentum;24.466672;112.626493
Fagopyrum esculentum;24.562836;102.757004
Fagopyrum esculentum;24.808853;103.400348
Fagopyrum esculentum;24.813781;113.184435
Fagopyrum esculentum;25.012526;102.700012
Fagopyrum esculentum;25.012526;102.700013
Fagopyrum esculentum;25.019444;121.520556
Fagopyrum esculentum;25.031795;109.172452
Fagopyrum esculentum;25.033889;121.5
Fagopyrum esculentum;25.183333;121.533333
Fagopyrum esculentum;25.22845;113.217309
Fagopyrum esculentum;25.255089;110.050532
Fagopyrum esculentum;25.273543;111.343914
Fagopyrum esculentum;25.39996;112.948819
Fagopyrum esculentum;25.465207;111.03045
Fagopyrum esculentum;25.532528;102.404938
Fagopyrum esculentum;25.584234;100.222124
Fagopyrum esculentum;25.60168;110.585686
Fagopyrum esculentum;25.833607;116.357607
Fagopyrum esculentum;26.397146;117.792739
Fagopyrum esculentum;26.580122;111.840659
Fagopyrum esculentum;26.876096;100.229945
Fagopyrum esculentum;27.218447;116.525727
Fagopyrum esculentum;27.643456;120.374912
Fagopyrum esculentum;27.756659;118.035307
Fagopyrum esculentum;27.98704;120.65486
Fagopyrum esculentum;28.253586;121.022805
Fagopyrum esculentum;28.26005;117.069218
Fagopyrum esculentum;28.451836;119.916426
Fagopyrum esculentum;28.6398;102.507677
Fagopyrum esculentum;28.946467;117.578709
Fagopyrum esculentum;28.965815;116.104041
Fagopyrum esculentum;29.000343;101.507299
Fagopyrum esculentum;29.001441;109.851254
Fagopyrum esculentum;29.010101;114.412629
Fagopyrum esculentum;29.010101;114.41263
Fagopyrum esculentum;29.157849;107.099275
Fagopyrum esculentum;29.157849;107.099276
Fagopyrum esculentum;29.22787;102.359458
Fagopyrum esculentum;29.243579;113.814207
Fagopyrum esculentum;29.496119;103.398589
Fagopyrum esculentum;29.499798;109.40694
Fagopyrum esculentum;29.578225;118.875568
Fagopyrum esculentum;29.678629;109.152925
Fagopyrum esculentum;29.866159;118.431373
Fagopyrum esculentum;29.868336;121.54399
Fagopyrum esculentum;29.914155;102.234618
Fagopyrum esculentum;29.990847;109.484961
Fagopyrum esculentum;30.090234;114.842469
Fagopyrum esculentum;30.196022;119.366283
Fagopyrum esculentum;30.273977;120.172974
Fagopyrum esculentum;30.290996;108.936374
Fagopyrum esculentum;30.368117;102.81464
Fagopyrum esculentum;30.549169;114.274914
Fagopyrum esculentum;30.561162;114.381419
Fagopyrum esculentum;30.601932;109.726617
Fagopyrum esculentum;30.623252;119.569434
Fagopyrum esculentum;30.663372;113.166529
Fagopyrum esculentum;30.690534;118.406439
Fagopyrum esculentum;30.78311;115.399242
Fagopyrum esculentum;30.911944;102.546111
Fagopyrum esculentum;30.966552;111.261345
Fagopyrum esculentum;31;119
Fagopyrum esculentum;31.029484;121.195754
Fagopyrum esculentum;31.042327;110.340757
Fagopyrum esculentum;31.05468;109.411178
Fagopyrum esculentum;31.331599;110.783718
Fagopyrum esculentum;31.375019;119.823343
Fagopyrum esculentum;31.526047;120.31968
Fagopyrum esculentum;31.556405;121.174157
Fagopyrum esculentum;31.662505;120.833688
Fagopyrum esculentum;31.954274;120.908479
Fagopyrum esculentum;32.055645;118.79774
Fagopyrum esculentum;32.055645;118.797741
Fagopyrum esculentum;32.059064;119.418318
Fagopyrum esculentum;32.087783;112.211769
Fagopyrum esculentum;32.144677;110.712211
Fagopyrum esculentum;32.359944;119.911834
Fagopyrum esculentum;32.373333;106.808333
Fagopyrum esculentum;32.38885;109.361869
Fagopyrum esculentum;32.405556;104.5225
Fagopyrum esculentum;32.605886;111.195824
Fagopyrum esculentum;32.79357;120.518088
Fagopyrum esculentum;33.214195;119.43159
Fagopyrum esculentum;33.261111;104.225556
Fagopyrum esculentum;33.30758;133.23389
Fagopyrum esculentum;33.347469;120.1635
Fagopyrum esculentum;33.478121;133.412266
Fagopyrum esculentum;33.478816;133.423459
Fagopyrum esculentum;33.54203;133.53693
Fagopyrum esculentum;33.542531;133.47701
Fagopyrum esculentum;33.54678;133.50623
Fagopyrum esculentum;33.584499;133.514089
