species;latitude;longitude
Glycine max (L.) Merr.;20.17883;106.07284
Glycine max (L.) Merr.;20.42707;105.635242
Glycine max (L.) Merr.;20.43882;106.16211
Glycine max (L.) Merr.;20.488773;105.710449
Glycine max (L.) Merr.;20.498265;105.418224
Glycine max (L.) Merr.;20.822525;104.721527
Glycine max (L.) Merr.;20.835711;105.952148
Glycine max (L.) Merr.;21.00741;103.641876
Glycine max (L.) Merr.;21.02776;105.83416
Glycine max (L.) Merr.;21.039165;105.462399
Glycine max (L.) Merr.;21.249999;105.499992
Glycine max (L.) Merr.;21.36194;107.59786
Glycine max (L.) Merr.;21.36669;107.33758
Glycine max (L.) Merr.;21.373765;106.456928
Glycine max (L.) Merr.;21.400001;106.749992
Glycine max (L.) Merr.;21.475834;101.56752
Glycine max (L.) Merr.;21.5;106.333333
Glycine max (L.) Merr.;21.65472;106.45237
Glycine max (L.) Merr.;21.666055;106.625824
Glycine max (L.) Merr.;21.741852;107.997805
Glycine max (L.) Merr.;21.755894;105.850002
Glycine max (L.) Merr.;21.854367;106.750071
Glycine max (L.) Merr.;21.861339;111.981851
Glycine max (L.) Merr.;21.883335;106.600002
Glycine max (L.) Merr.;21.893275;106.729065
Glycine max (L.) Merr.;21.944779;105.234799
Glycine max (L.) Merr.;21.95;106.700001
Glycine max (L.) Merr.;21.957355;100.452547
Glycine max (L.) Merr.;21.9667;100.4667
Glycine max (L.) Merr.;21.999167;120.795833
Glycine max (L.) Merr.;22.010392;107.325268
Glycine max (L.) Merr.;22.012371;105.198564
Glycine max (L.) Merr.;22.022045;106.675122
Glycine max (L.) Merr.;22.093785;105.223778
Glycine max (L.) Merr.;22.1081;111.6991
Glycine max (L.) Merr.;22.10952;104.722561
Glycine max (L.) Merr.;22.24972;103.96081
Glycine max (L.) Merr.;22.25257;111.721548
Glycine max (L.) Merr.;22.25897;106.80861
Glycine max (L.) Merr.;22.26507;104.080956
Glycine max (L.) Merr.;22.356491;114.12236
Glycine max (L.) Merr.;22.360556;120.587778
Glycine max (L.) Merr.;22.391288;106.817838
Glycine max (L.) Merr.;22.39449;103.83902
Glycine max (L.) Merr.;22.396428;114.109497
Glycine max (L.) Merr.;22.397333;120.620247
Glycine max (L.) Merr.;22.502235;104.315868
Glycine max (L.) Merr.;22.533334;106.516641
Glycine max (L.) Merr.;22.624496;104.489162
Glycine max (L.) Merr.;22.68472;104.141388
Glycine max (L.) Merr.;22.710026;106.695774
Glycine max (L.) Merr.;22.718729;106.309156
Glycine max (L.) Merr.;22.737435;106.05513
Glycine max (L.) Merr.;22.7798;104.962459
Glycine max (L.) Merr.;22.792254;105.044383
Glycine max (L.) Merr.;22.893333;120.469722
Glycine max (L.) Merr.;23.065278;120.318889
Glycine max (L.) Merr.;23.084444;120.581667
Glycine max (L.) Merr.;23.1;107.85
Glycine max (L.) Merr.;23.10061;113.29955
Glycine max (L.) Merr.;23.1037;113.29947
Glycine max (L.) Merr.;23.1155;120.2994
Glycine max (L.) Merr.;23.116666;113.25
Glycine max (L.) Merr.;23.127041;113.341527
Glycine max (L.) Merr.;23.163229;120.756272
Glycine max (L.) Merr.;23.6675;120.786389
Glycine max (L.) Merr.;23.766944;120.823889
Glycine max (L.) Merr.;23.857222;120.576389
Glycine max subsp. formosana (L.) Merr.;23.980556;121.119722
Glycine max (L.) Merr.;24.706769;102.928677
Glycine max (L.) Merr.;24.708333;121.131389
Glycine max subsp. formosana (L.) Merr.;24.730556;121.083056
Glycine max (L.) Merr.;24.785488;125.279846
Glycine max subsp. formosana (Hosok.) Y.Tateishi & H.Ohashi;24.826389;121.269722
Glycine max subsp. formosana (Hosok.) Y.Tateishi & H.Ohashi;24.83;121.27
Glycine max subsp. formosana (L.) Merr.;24.883889;121.276389
Glycine max (L.) Merr.;24.9;115.7
Glycine max (L.) Merr.;24.900001;114.783337
Glycine max subsp. formosana (L.) Merr.;24.931667;121.361389
Glycine max (L.) Merr.;24.932521;102.775726
Glycine max (L.) Merr.;24.968889;121.051944
Glycine max (L.) Merr.;24.97;121.05
Glycine max (L.) Merr.;25.012526;102.700013
Glycine max (L.) Merr.;25.012778;121.541389
Glycine max (L.) Merr.;25.015833;121.535833
Glycine max (L.) Merr.;25.016857;121.533776
Glycine max (L.) Merr.;25.175621;110.351669
Glycine max (L.) Merr.;25.185593;111.579305
Glycine max (L.) Merr.;25.255089;110.050532
Glycine max (L.) Merr.;25.275561;112.563461
Glycine max (L.) Merr.;25.281945;110.286388
Glycine max (L.) Merr.;25.39996;112.948819
Glycine max (L.) Merr.;25.405097;110.440546
Glycine max (L.) Merr.;25.55889;100.22917
Glycine max (L.) Merr.;25.9;116
Glycine max (L.) Merr.;26;115.4
Glycine max (L.) Merr.;26.175159;118.103027
Glycine max (L.) Merr.;26.3;110.3
Glycine max (L.) Merr.;26.390277;112.278614
Glycine max (L.) Merr.;26.4;116.3
Glycine max (L.) Merr.;26.5;115.9
Glycine max (L.) Merr.;26.5;118.3
Glycine max (L.) Merr.;26.55642;112.32596
Glycine max (L.) Merr.;26.725987;128.232422
Glycine max (L.) Merr.;26.8;112.6
Glycine max (L.) Merr.;26.9;112.5
Glycine max (L.) Merr.;27.045184;120.837583
Glycine max (L.) Merr.;27.3;112.8
Glycine max (L.) Merr.;27.57669;111.558346
Glycine max (L.) Merr.;27.9;115.9
Glycine max (L.) Merr.;28.2;113
Glycine max (L.) Merr.;28.262715;103.571742
Glycine max (L.) Merr.;28.3;117.2
Glycine max (L.) Merr.;28.3;104.2
Glycine max (L.) Merr.;28.3;104.5
Glycine max (L.) Merr.;28.3;105.4
Glycine max (L.) Merr.;28.3;106.4
Glycine max (L.) Merr.;28.3;108.4
Glycine max (L.) Merr.;28.4;118
Glycine max (L.) Merr.;28.4;105
Glycine max (L.) Merr.;28.4;105.4
Glycine max (L.) Merr.;28.4;106.4
Glycine max (L.) Merr.;28.4;115.9
Glycine max (L.) Merr.;28.4;116.3
Glycine max (L.) Merr.;28.4;117.5
Glycine max (L.) Merr.;28.56811;109.475025
Glycine max (L.) Merr.;28.6;121.3
Glycine max (L.) Merr.;28.7;105
Glycine max (L.) Merr.;28.7;113.6
Glycine max (L.) Merr.;28.7;115.9
Glycine max (L.) Merr.;28.7;118.3
Glycine max (L.) Merr.;28.8;113.1
Glycine max (L.) Merr.;28.846756;116.161457
Glycine max (L.) Merr.;28.9;120.8
Glycine max (L.) Merr.;28.9;118.8
Glycine max (L.) Merr.;28.9;119.6
Glycine max (L.) Merr.;28.9;120.1
Glycine max (L.) Merr.;28.9;120.3
Glycine max (L.) Merr.;29.1;113.1
Glycine max (L.) Merr.;29.183889;121.279163
Glycine max (L.) Merr.;29.2;121.1
Glycine max (L.) Merr.;29.2;105.4
Glycine max (L.) Merr.;29.2;107.6
Glycine max (L.) Merr.;29.2;119.5
Glycine max (L.) Merr.;29.213611;119.486668
Glycine max (L.) Merr.;29.3;102.1
Glycine max (L.) Merr.;29.3;102.3
Glycine max (L.) Merr.;29.3;120.1
Glycine max (L.) Merr.;29.4;113.1
Glycine max (L.) Merr.;29.4;104.5
Glycine max (L.) Merr.;29.4;104.8
Glycine max (L.) Merr.;29.4;106.4
Glycine max (L.) Merr.;29.5;109.5
Glycine max (L.) Merr.;29.5;120.9
Glycine max (L.) Merr.;29.6;102.8
Glycine max (L.) Merr.;29.6;104.6
Glycine max (L.) Merr.;29.6;105.4
Glycine max (L.) Merr.;29.61015;115.998104
Glycine max (L.) Merr.;29.8;107.6
Glycine max (L.) Merr.;29.990847;109.484961
Glycine max (L.) Merr.;30;108.1
Glycine max (L.) Merr.;30;105
Glycine max (L.) Merr.;30.133335;103.166668
Glycine max (L.) Merr.;30.2;104.5
Glycine max (L.) Merr.;30.2;105
Glycine max (L.) Merr.;30.2;105.4
Glycine max (L.) Merr.;30.2;106.4
Glycine max (L.) Merr.;30.2;120.3
Glycine max (L.) Merr.;30.3;121.2
Glycine max (L.) Merr.;30.4;107.2
Glycine max (L.) Merr.;30.4;105
Glycine max (L.) Merr.;30.5833;114.3167
Glycine max (L.) Merr.;30.583333;114.266666
Glycine max (L.) Merr.;30.6;107.7
Glycine max (L.) Merr.;30.663372;113.166529
Glycine max (L.) Merr.;30.666667;104.06667
Glycine max (L.) Merr.;30.6667;104.067
Glycine max (L.) Merr.;30.69197;111.28647
Glycine max (L.) Merr.;30.728056;121.213612
Glycine max (L.) Merr.;30.77985;119.77798
Glycine max (L.) Merr.;30.9;108.3
Glycine max (L.) Merr.;30.900001;118.882778
Glycine max (L.) Merr.;30.976183;104.28243
Glycine max (L.) Merr.;31.042327;110.340757
Glycine max (L.) Merr.;31.1;121.3667
Glycine max (L.) Merr.;31.2;120.6
Glycine max (L.) Merr.;31.23039;121.4737
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;31.4600000286575;130.74
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;31.4900000287045;130.99
Glycine max (L.) Merr.;31.599999;130.550003
Glycine max (L.) Merr.;31.6;120.3
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;31.6100000288922;131.4
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;31.6300000289234;131.38
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;31.6339;131.3522
Glycine max (L.) Merr.;31.662505;120.833688
Glycine max (L.) Merr.;31.8;120.6
Glycine max (L.) Merr.;31.863888;117.280555
Glycine max (L.) Merr.;31.9;120.3
Glycine max (L.) Merr.;31.9;109.3
Glycine max (L.) Merr.;32;114.9
Glycine max (L.) Merr.;32;119.6
Glycine max (L.) Merr.;32;120.9
Glycine max (L.) Merr.;32.056391;118.777657
Glycine max (L.) Merr.;32.066666;118.766666
Glycine max (L.) Merr.;32.066667;118.766667
Glycine max (L.) Merr.;32.1;115.1
Glycine max (L.) Merr.;32.1;114.1
Glycine max (L.) Merr.;32.157022;117.314987
Glycine max (L.) Merr.;32.2;119.4
Glycine max (L.) Merr.;32.2;108.9
Glycine max (L.) Merr.;32.2;114.1
Glycine max (L.) Merr.;32.3;114.5
Glycine max (L.) Merr.;32.4;120.6
Glycine max (L.) Merr.;32.4;109.4
Glycine max (L.) Merr.;32.4;119.5
Glycine max (L.) Merr.;32.4;120
Glycine max (L.) Merr.;32.458612;114.048611
Glycine max (L.) Merr.;32.6;114.4
Glycine max (L.) Merr.;32.6;112.8
Glycine max (L.) Merr.;32.7;113.4
Glycine max (L.) Merr.;32.7;109.1
Glycine max (L.) Merr.;32.7;113.3
Glycine max (L.) Merr.;32.733337;129.883331
Glycine max (L.) Merr.;32.75029;129.87767
Glycine max (L.) Merr.;32.8;114.9
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;32.833333;132.7
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;32.866667;132.716667
Glycine max (L.) Merr.;32.9;110.1
Glycine max (L.) Merr.;32.9108;108.309
Glycine max (L.) Merr.;32.933332;129.616669
Glycine max (L.) Merr.;32.970736;119.342114
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;32.970833;132.93125
Glycine max (L.) Merr.;33;112.6
Glycine max (L.) Merr.;33;114
Glycine max (L.) Merr.;33;114.3
Glycine max (L.) Merr.;33;114.4
Glycine max (L.) Merr.;33;114.7
Glycine max (L.) Merr.;33.1;114
Glycine max (L.) Merr.;33.1;108.2
Glycine max (L.) Merr.;33.1;108.3
Glycine max (L.) Merr.;33.1;111.5
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.183333;133.15
Glycine max (L.) Merr.;33.1835;108.4061
Glycine max (L.) Merr.;33.2135;108.6759
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.233333;132.85
Glycine max (L.) Merr.;33.2378;108.1891
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.241351;126.3135
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.261339;126.533746
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.266667;133.233333
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.284521;126.603311
Glycine max (L.) Merr.;33.2906;109.7878
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.29473;126.53697
Glycine max (L.) Merr.;33.2963;108.2034
Glycine max (L.) Merr.;33.3;114.3
Glycine max (L.) Merr.;33.3;108.3
Glycine max (L.) Merr.;33.3;111.5
Glycine max (L.) Merr.;33.3;113
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.324515;126.560258
Glycine max (L.) Merr.;33.3291;108.8458
Glycine max (L.) Merr.;33.3291;109.5862
Glycine max (L.) Merr.;33.3306;108.2547
Glycine max (L.) Merr.;33.332;108.5517
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.345815;126.536759
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.356956;126.531878
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.3625;133.08125
Glycine max (L.) Merr.;33.3805;109.3892
Glycine max (L.) Merr.;33.382;110.0136
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.383333;134.033333
Glycine max (L.) Merr.;33.4;114
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.4;134.133333
Glycine max (L.) Merr.;33.401667;126.546108
Glycine max subsp. max;33.416667;134
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.433333;134.016667
Glycine max (L.) Merr.;33.4376;108.329
Glycine max (L.) Merr.;33.4391;108.7744
Glycine max (L.) Merr.;33.4562;109.5265
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.466667;133.483333
Glycine max (L.) Merr.;33.4762;109.1351
Glycine max (L.) Merr.;33.4805;109.245
Glycine max (L.) Merr.;33.4819;109.8963
Glycine max (L.) Merr.;33.5;112.5
Glycine max (L.) Merr.;33.5304;109.7264
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.533333;133.233333
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.533333;133.916667
Glycine max (L.) Merr.;33.5376;109.3809
Glycine max (L.) Merr.;33.5476;108.4518
Glycine max (L.) Merr.;33.5761;110.4065
Glycine max (L.) Merr.;33.5804;109.2321
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.582733;134.326927
Glycine max (L.) Merr.;33.5833;109.5222
Glycine max (L.) Merr.;33.6;115.2
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.604167;133.56875
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.611563;134.3229
Glycine max (L.) Merr.;33.6161;109.6664
Glycine max (L.) Merr.;33.629;109.1008
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.633333;133.75
Glycine max (L.) Merr.;33.6361;110.6111
Glycine max (L.) Merr.;33.6504;110.2695
Glycine max (L.) Merr.;33.6561;109.8792
Glycine max (L.) Merr.;33.6604;109.9405
Glycine max (L.) Merr.;33.6732;109.6079
Glycine max (L.) Merr.;33.683332;134.416672
Glycine max (L.) Merr.;33.6932;110.5112
Glycine max (L.) Merr.;33.7;114.7
Glycine max (L.) Merr.;33.706;110.5781
Glycine max (L.) Merr.;33.7089;109.2393
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.716667;133.316667
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.733333;133.533333
Glycine max (L.) Merr.;33.7346;110.2452
Glycine max (L.) Merr.;33.749996;133.499992
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.75;133.6
Glycine max (L.) Merr.;33.7732;110.4784
Glycine max subsp. max;33.77853;129.66994
Glycine max (L.) Merr.;33.7874;109.5508
Glycine max (L.) Merr.;33.8;115.5
Glycine max (L.) Merr.;33.8;111.6
Glycine max (L.) Merr.;33.8;113.5
Glycine max (L.) Merr.;33.8;113.9
Glycine max (L.) Merr.;33.8088;109.2007
Glycine max (L.) Merr.;33.8188;110.368
Glycine max (L.) Merr.;33.8374;109.3364
Glycine max (L.) Merr.;33.9;116.4
Glycine max (L.) Merr.;33.94139;108.84333
Glycine max (L.) Merr.;33.950001;130.949997
Glycine max (L.) Merr.;33.951225;113.535286
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;33.951493;134.677305
Glycine max (L.) Merr.;34;113.8
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.045758;134.531404
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.054061;134.331728
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.068865;134.326395
Glycine max (L.) Merr.;34.0795;108.3317
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.085671;134.600342
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.096002;134.554762
Glycine max (L.) Merr.;34.1;115.4
Glycine max subsp. max;34.114999;134.333727
Glycine max (L.) Merr.;34.1252;108.3346
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.151747;134.599118
Glycine max (L.) Merr.;34.19363;126.872864
Glycine max (L.) Merr.;34.2;116.1
Glycine max (L.) Merr.;34.296641;117.202939
Glycine max (L.) Merr.;34.320324;126.716212
Glycine max (L.) Merr.;34.38333;126.2
Glycine max (L.) Merr.;34.4;114.2
Glycine max (L.) Merr.;34.4;115.1
Glycine max (L.) Merr.;34.4;115.6
Glycine max (L.) Merr.;34.441;109.391
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.46806;135.9688
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.48572;135.71921
Glycine max (L.) Merr.;34.486871;126.263485
Glycine max (L.) Merr.;34.499996;132.999992
Glycine max (L.) Merr.;34.5;110.9
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.5200000331655;136.54
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.5500000332063;136.42
Glycine max (L.) Merr.;34.574167;126.5975
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.58167;135.84291
Glycine max (L.) Merr.;34.5983;108.3347
Glycine max (L.) Merr.;34.6;115.1
Glycine max (L.) Merr.;34.640556;126.77
Glycine max (L.) Merr.;34.6555;108.3675
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.6688;138.9631
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.66947;135.77534
Glycine max (L.) Merr.;34.694584;126.452889
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.69645;135.9165
Glycine max (L.) Merr.;34.7;112.2
Glycine max (L.) Merr.;34.7123;109.4553
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.7375;135.10625
Glycine max (L.) Merr.;34.75;127
Glycine max (L.) Merr.;34.757774;117.579998
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.766701;134.717
Glycine max (L.) Merr.;34.770557;127.081669
Glycine max (L.) Merr.;34.777716;126.749268
Glycine max (L.) Merr.;34.799709;126.695366
Glycine max (L.) Merr.;34.8;114.4
Glycine max (L.) Merr.;34.8;114.3
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.8;134.983333
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.816667;135.033333
Glycine max subsp. soja (Siebold & Zucc.) H.Ohashi;34.833333;134.983333
Glycine max (L.) Merr.;34.8336;137.31778
