species;latitude;longitude
H. esculenta;44.98446;147.75006
H. esculenta;42.60856;131.19477
H. esculenta;42.77812;131.26084
H. esculenta;42.77812;131.26084
H. esculenta;44.734778;147.228778
H. esculenta;44.734778;147.228778
H. esculenta;44.790556;147.157806
H. esculenta;44.790556;147.157806
H. esculenta;44.033083;145.855833
H. esculenta;44.033083;145.855833
H. esculenta;44.360583;146.215583
H. esculenta;45.2525;147.886306
H. esculenta;45.266667;147.919778
H. esculenta;45.266667;147.919778
H. esculenta;45.253083;148.118833
H. esculenta;45.248139;159.552278
H. esculenta;45.248139;159.552278
H. esculenta;45.196033;148.130862
H. esculenta;44.082227;145.759092
H. esculenta;49.133333;14.697222
H. esculenta;49.296576;144.009196
H. esculenta;49.312760;143.788304
H. esculenta;43.646238;132.392959
H. esculenta;48.568890;142.190830
H. esculenta;48.768617;141.851044
H. esculenta;46.858610;143.155560
H. esculenta;50.616322;142.97714
H. esculenta;47.141136;142.205018
H. esculenta;47.046571;142.733157
H. esculenta;47.384677;142.810428
H. esculenta;47.348680;142.777686
H. esculenta;47.402305;142.835537
H. esculenta;47.042956;142.801928
H. esculenta;49.006309;144.427642
H. esculenta;47.757778;14.388889
H. esculenta;47.402305;142.835537
H. esculenta;46.599170;143.075830
H. esculenta;46.599170;143.075830
H. esculenta;46.599170;143.075830
H. esculenta;46.599170;143.075830
H. esculenta;50.836000;143.168806
H. esculenta;50.470265;143.226897
H. esculenta;50.765236;142.0923
H. esculenta;50.765236;142.0923
H. esculenta;47.436471;142.767764
H. esculenta;46.507500;143.307500
H. esculenta;46.599170;143.075830
H. lilioasphodelus;44.851667;136.221667
H. lilio-asphodelus;42.54280;130.68020
H. lilio-asphodelus;42.54280;130.68020
H. lilio-asphodelus;42.87722;131.65944
H. lilio-asphodelus;42.87722;131.65944
H. lilio-asphodelus;42.61768;130.89576
H. lilio-asphodelus;45.13955;131.94089
H. lilio-asphodelus;43.43577;131.36557
H. lilio-asphodelus;42.64774;131.07703
H. lilio-asphodelus;42.77926;131.25712
H. lilio-asphodelus;42.79017;131.27983
H. lilio-asphodelus;42.79017;131.27983
H. lilio-asphodelus;42.79017;131.27983
H. lilio-asphodelus;42.44007;130.65677
H. lilio-asphodelus;42.77846;131.26678
H. lilio-asphodelus;43.74513;131.45521
H. lilio-asphodelus;44.11231;131.65338
H. lilio-asphodelus;49.02886;111.63783
H. lilio-asphodelus;49.00647;110.39155
H. lilio-asphodelus;49.18133;112.63153
H. lilio-asphodelus;51.11955;115.76831
H. lilio-asphodelus;52.46367;119.75409
H. lilio-asphodelus;49.50793;111.09818
H. lilio-asphodelus;51.13236;115.77511
H. lilio-asphodelus;51.85000;117.00000
H. lilio-asphodelus;50.83333;113.41667
H. lilio-asphodelus;50.83333;113.41667
H. lilio-asphodelus;49.49059;110.76045
H. lilio-asphodelus;49.58158;112.53795
H. lilio-asphodelus;52.14475;120.02319
H. lilio-asphodelus;50.83333;113.41667
H. lilio-asphodelus;42.76667;132.33333
H. lilio-asphodelus;44.65487;131.85687
H. lilio-asphodelus;52.222680;129.494992
H. lilio-asphodelus;51.8;107.6
H. lilio-asphodelus;55.957872;92.336696
H. lilio-asphodelus;55.957872;92.336696
H. lilio-asphodelus;52.974170;91.273330
H. lilio-asphodelus;52.974170;91.273330
H. lilio-asphodelus;53.936406;91.659214
H. lilio-asphodelus;51.70000;94.36667
H. lilio-asphodelus;51.970000;85.930000
H. lilio-asphodelus;52.496537;85.176840
H. lilio-asphodelus;53.41056;91.06167
H. lilio-asphodelus;52.8718083;90.2900417
H. lilio-asphodelus;54.545831;90.679694
H. lilio-asphodelus;53.985000; 90.968330
H. lilio-asphodelus;55.70028;90.42500
H. lilio-asphodelus;54.445778;91.162220
H. lilio-asphodelus;53.235219; 90.813973
H. lilio-asphodelus;56.388813;84.084671
H. lilio-asphodelus;56.508544;85.056652
H. lilio-asphodelus;47.008;120.05
H. lilio-asphodelus;52.295530;85.835240
H. lilio-asphodelus;49.030790;130.496687
H. lilio-asphodelus;49.030790;130.496687
H. lilio-asphodelus;52.424815;130.818596
H. lilio-asphodelus;53.830275;128.331029
H. lilio-asphodelus;53.989784; 127.472009
H. lilio-asphodelus;50.716916;137.346799
H. lilio-asphodelus;50.748060;137.655280
H. lilio-asphodelus;43.199324;131.502039
H. lilio-asphodelus;43.971274;131.467126
H. lilio-asphodelus;43.614741;132.233065
H. lilio-asphodelus;48.095251;134.862607
H. lilio-asphodelus;48.095251; 134.862607
