species;latitude;longitude
Oryza sativa;20;104
Oryza sativa;20;101
Oryza sativa;20;102
Oryza sativa;20;103
Oryza sativa;20;105.5
Oryza sativa;20.01;101.31
Oryza sativa;20.0125;101.31389
Oryza sativa;20.01738;110.34923
Oryza sativa;20.02;101.33
Oryza sativa;20.02;101.51
Oryza sativa;20.02111;101.51028
Oryza sativa;20.02306;101.33333
Oryza sativa;20.02306;101.33306
Oryza sativa;20.02333;101.50667
Oryza sativa;20.03;103.03
Oryza sativa;20.03;101.65
Oryza sativa;20.03;101.34
Oryza sativa;20.03;104.57
Oryza sativa;20.03083;104.57583
Oryza sativa;20.03306;101.65222
Oryza sativa;20.03306;101.34556
Oryza sativa;20.03333;105.86667
Oryza sativa;20.03382;102.68026
Oryza sativa;20.0367;105.5819
Oryza sativa;20.03972;103.03972
Oryza sativa;20.04;101.5
Oryza sativa;20.04;103.35
Oryza sativa;20.04;103.7
Oryza sativa;20.04;101.35
Oryza sativa;20.04;103.97
Oryza sativa;20.04278;101.50361
Oryza sativa;20.04333;103.70694
Oryza sativa;20.0475;101.35444
Oryza sativa;20.04833;103.35833
Oryza sativa;20.04917;103.97028
Oryza sativa;20.05;101.36
Oryza sativa;20.05;103.02
Oryza sativa;20.05;103.57
Oryza sativa;20.05417;101.50028
Oryza sativa;20.05583;103.57361
Oryza sativa;20.05639;103.02333
Oryza sativa;20.05944;101.36111
Oryza sativa;20.06;103.5
Oryza sativa;20.06;104.55
Oryza sativa;20.06417;103.50306
Oryza sativa;20.0656;102.622
Oryza sativa;20.06833;104.55389
Oryza sativa;20.07;101.38
Oryza sativa;20.0775;101.38111
Oryza sativa;20.07861;101.38139
Oryza sativa;20.08;101.49
Oryza sativa;20.08;101.38
Oryza sativa;20.08333;105.63306
Oryza sativa;20.085;101.38361
Oryza sativa;20.08722;101.49
Oryza sativa;20.08889;101.38972
Oryza sativa;20.09;101.39
Oryza sativa;20.09;100.81
Oryza sativa;20.09;103.35
Oryza sativa;20.09361;103.35722
Oryza sativa;20.09444;101.39611
Oryza sativa;20.09889;100.81167
Oryza sativa;20.1;101.41
Oryza sativa;20.1;101.49
Oryza sativa;20.10417;101.41194
Oryza sativa;20.10556;101.49167
Oryza sativa;20.10722;100.61225
Oryza sativa;20.10883;106.15218
Oryza sativa;20.11;100.6
Oryza sativa;20.11;100.75
Oryza sativa;20.11111;100.60556
Oryza sativa;20.11972;100.75194
Oryza sativa;20.12;100.62
Oryza sativa;20.12;101.48
Oryza sativa;20.12111;100.62444
Oryza sativa;20.12583;101.48861
Oryza sativa;20.12913;105.31312
Oryza sativa;20.13;100.72
Oryza sativa;20.13;100.6475
Oryza sativa;20.13;100.64
Oryza sativa;20.13;101.49
Oryza sativa;20.13416;100.85654
Oryza sativa;20.13528;100.7275
Oryza sativa;20.13556;101.42305
Oryza sativa;20.13583;101.49111
Oryza sativa;20.14;101.46
Oryza sativa;20.14;100.71
Oryza sativa;20.14;103.27
Oryza sativa;20.14861;101.46944
Oryza sativa;20.14861;100.71833
Oryza sativa;20.14861;103.27028
Oryza sativa;20.14867;102.74722
Oryza sativa;20.15;100.59
Oryza sativa;20.15;102.74
Oryza sativa;20.15;103.89
Oryza sativa;20.15111;100.59222
Oryza sativa;20.15529;101.99708
Oryza sativa;20.1575;102.74083
Oryza sativa;20.15861;103.89083
Oryza sativa;20.16;103.08
Oryza sativa;20.16;101.45
Oryza sativa;20.16;101.44
Oryza sativa;20.16317;106.07665
Oryza sativa;20.16344;106.07613
Oryza sativa;20.16353;106.07875
Oryza sativa;20.16382;106.07667
Oryza sativa;20.16444;103.08417
Oryza sativa;20.16445;106.07575
Oryza sativa;20.16446;106.07799
Oryza sativa;20.16484;106.07333
Oryza sativa;20.16513;106.07341
Oryza sativa;20.16545;106.07111
Oryza sativa;20.16575;106.06998
Oryza sativa;20.16575;106.07
Oryza sativa;20.16576;106.06998
Oryza sativa;20.16667;106.06667
Oryza sativa;20.16806;101.44444
Oryza sativa;20.16806;101.45306
Oryza sativa;20.18;101.43
Oryza sativa;20.18;101.51
Oryza sativa;20.18861;101.43278
Oryza sativa;20.18944;101.51944
Oryza sativa;20.2;103.4
Oryza sativa;20.2;103.05
Oryza sativa;20.2;102.78
Oryza sativa;20.2;103.87
Oryza sativa;20.205;102.78917
Oryza sativa;20.205;103.40583
Oryza sativa;20.20806;103.05333
Oryza sativa;20.20889;103.87861
Oryza sativa;20.21;101.41306
Oryza sativa;20.21;103.05
Oryza sativa;20.21;102.81
Oryza sativa;20.21;103.96
Oryza sativa;20.21;101.41
Oryza sativa;20.21556;103.96833
Oryza sativa;20.21611;102.81806
Oryza sativa;20.21694;103.05167
Oryza sativa;20.22;101.55
Oryza sativa;20.22;103.0525
Oryza sativa;20.22;102.95
Oryza sativa;20.22;103.05
Oryza sativa;20.22;104.01
Oryza sativa;20.22333;102.95889
Oryza sativa;20.22889;101.55972
Oryza sativa;20.22889;104.01083
Oryza sativa;20.23;101.57
Oryza sativa;20.23;103.4
Oryza sativa;20.23111;103.40583
Oryza sativa;20.23861;101.57056
Oryza sativa;20.24;101.57
Oryza sativa;20.245;101.57639
Oryza sativa;20.25;105.83
Oryza sativa;20.25;106.25
Oryza sativa;20.25061;105.97446
Oryza sativa;20.26;101.97
Oryza sativa;20.26;100.08
Oryza sativa;20.26;101.59
Oryza sativa;20.26;104.51
Oryza sativa;20.26;104.53
Oryza sativa;20.26278;101.59417
Oryza sativa;20.26639;101.97472
Oryza sativa;20.26639;104.51972
Oryza sativa;20.266666;100.083332
Oryza sativa;20.26778;104.53028
Oryza sativa;20.27;102.37
Oryza sativa;20.27333;102.37333
Oryza sativa;20.27764;100.4171
Oryza sativa;20.27918;106.20515
Oryza sativa;20.28;101.61
Oryza sativa;20.28056;101.61167
Oryza sativa;20.29;102.42
Oryza sativa;20.29806;102.425
Oryza sativa;20.3;100.16
Oryza sativa;20.30111;100.165
Oryza sativa;20.31;102.93
Oryza sativa;20.31;104.02
Oryza sativa;20.31;101.98
Oryza sativa;20.31;102.42
Oryza sativa;20.31;102.85
Oryza sativa;20.31;104.56
Oryza sativa;20.31194;104.02583
Oryza sativa;20.31222;102.42389
Oryza sativa;20.31361;102.85194
Oryza sativa;20.31444;102.93278
Oryza sativa;20.315;101.98722
Oryza sativa;20.31861;104.56472
Oryza sativa;20.32;104.56
Oryza sativa;20.32167;104.56472
Oryza sativa;20.32583;101.65528
Oryza sativa;20.32972;106.02141
Oryza sativa;20.33;102
Oryza sativa;20.33;100.18
Oryza sativa;20.33;105.25
Oryza sativa;20.33306;101.67028
Oryza sativa;20.33361;100.185
Oryza sativa;20.33861;102.00611
Oryza sativa;20.34643;100.67837
Oryza sativa;20.35;103
Oryza sativa;20.35;103.9
Oryza sativa;20.35361;104.00333
Oryza sativa;20.35528;103.00333
Oryza sativa;20.35806;101.7075
Oryza sativa;20.36;101.71
Oryza sativa;20.36;102.35
Oryza sativa;20.36917;101.71944
Oryza sativa;20.36944;102.35028
Oryza sativa;20.37;102.32
Oryza sativa;20.37;104.28
Oryza sativa;20.3725;102.32472
Oryza sativa;20.3725;104.28917
Oryza sativa;20.38;101.77
Oryza sativa;20.38;102
Oryza sativa;20.38806;102.00833
Oryza sativa;20.38806;101.77444
Oryza sativa;20.39745;106.21732
Oryza sativa;20.4;101.77
Oryza sativa;20.4;100.32
Oryza sativa;20.4;100.25
Oryza sativa;20.4;100.19
Oryza sativa;20.4;104.04
Oryza sativa;20.40167;100.19083
Oryza sativa;20.4025;121.94
Oryza sativa;20.40278;100.32361
Oryza sativa;20.40278;104.04694
Oryza sativa;20.40528;104.22639
Oryza sativa;20.40556;100.25861
Oryza sativa;20.40972;101.77222
Oryza sativa;20.41;102.02
Oryza sativa;20.41;100.2
Oryza sativa;20.41;101.77
Oryza sativa;20.41;104.05
Oryza sativa;20.41;104.06
Oryza sativa;20.41028;104.05417
Oryza sativa;20.4125;101.77417
Oryza sativa;20.41528;104.06194
Oryza sativa;20.41667;121.96667
Oryza sativa;20.41806;100.20306
Oryza sativa;20.41861;102.02333
Oryza sativa;20.42;106.16834
Oryza sativa;20.42508;106.17943
Oryza sativa;20.43;105.41
Oryza sativa;20.43333;105.41667
Oryza sativa;20.44;102.94
Oryza sativa;20.44;101.81
Oryza sativa;20.44;102.87
Oryza sativa;20.44181;106.16244
Oryza sativa;20.4425;102.94806
Oryza sativa;20.44667;101.815
Oryza sativa;20.44667;102.87806
Oryza sativa;20.45;101.98
Oryza sativa;20.45;121.96
Oryza sativa;20.45;121.96667
Oryza sativa;20.45111;101.98111
Oryza sativa;20.47155;103.14249
Oryza sativa;20.48028;101.83861
Oryza sativa;20.49;100.56
Oryza sativa;20.49;102.35
Oryza sativa;20.49;101.99
Oryza sativa;20.49;101.87
Oryza sativa;20.49;102.87
Oryza sativa;20.49111;100.56167
Oryza sativa;20.4922;101.889
Oryza sativa;20.49583;101.99639
Oryza sativa;20.49691;101.6874
Oryza sativa;20.49694;102.35722
Oryza sativa;20.4975;102.87806
Oryza sativa;20.49889;101.87306
Oryza sativa;20.5;103.75
Oryza sativa;20.5;102.86
Oryza sativa;20.5;102.36
Oryza sativa;20.5;105.9
Oryza sativa;20.5;106.33
Oryza sativa;20.50313;105.8848
Oryza sativa;20.50313;105.88481
Oryza sativa;20.50404;101.41305
Oryza sativa;20.50611;102.36278
Oryza sativa;20.50883;106.13163
Oryza sativa;20.50944;102.86028
Oryza sativa;20.51917;102.37
Oryza sativa;20.52;101.89
Oryza sativa;20.52528;101.89583
Oryza sativa;20.53;102.83
Oryza sativa;20.53;102.37
Oryza sativa;20.53;102.7
Oryza sativa;20.53;102.64
Oryza sativa;20.53122;105.9
Oryza sativa;20.53472;102.64444
Oryza sativa;20.53472;102.70694
Oryza sativa;20.53583;102.37139
Oryza sativa;20.53833;102.83028
Oryza sativa;20.54767;105.93474
Oryza sativa;20.55;102.38389
Oryza sativa;20.55;102.22
Oryza sativa;20.55;102.38
Oryza sativa;20.55;104.78334
Oryza sativa;20.55111;101.90861
Oryza sativa;20.55944;102.22722
Oryza sativa;20.56;100.58
Oryza sativa;20.56;102.62
Oryza sativa;20.56;102.63
Oryza sativa;20.56611;102.62
Oryza sativa;20.56944;100.58917
Oryza sativa;20.56972;102.63528
Oryza sativa;20.57;101.96
Oryza sativa;20.57;102.26
Oryza sativa;20.57444;102.26333
Oryza sativa;20.57722;101.96194
Oryza sativa;20.5775;102.11556
Oryza sativa;20.58;102.12917
Oryza sativa;20.58;101.08
Oryza sativa;20.58;101.92
Oryza sativa;20.58;102.12
Oryza sativa;20.58;105.01
Oryza sativa;20.58333;105.01667
Oryza sativa;20.58444;101.92611
Oryza sativa;20.58861;101.08889
Oryza sativa;20.59;101.45
Oryza sativa;20.59417;101.45444
Oryza sativa;20.6;105.41
Oryza sativa;20.6;105.41667
Oryza sativa;20.61;101.94
Oryza sativa;20.61107;102.01512
Oryza sativa;20.61167;101.94667
Oryza sativa;20.62;100.4
Oryza sativa;20.62;101.46
Oryza sativa;20.62611;101.46583
Oryza sativa;20.62694;100.40444
Oryza sativa;20.63;101.08
Oryza sativa;20.63;100.42
Oryza sativa;20.63;102.45
Oryza sativa;20.63;102.5
Oryza sativa;20.63;102.51
Oryza sativa;20.6325;102.50611
Oryza sativa;20.63333;102.45
Oryza sativa;20.63333;102.51667
Oryza sativa;20.63444;101.08306
Oryza sativa;20.63556;100.42778
Oryza sativa;20.64;100.45
Oryza sativa;20.64167;100.45972
Oryza sativa;20.65;101.46
Oryza sativa;20.65;100.5
Oryza sativa;20.65;102.48
Oryza sativa;20.65139;102.48806
Oryza sativa;20.65472;101.46722
Oryza sativa;20.65694;100.50694
Oryza sativa;20.66;100.41
Oryza sativa;20.66;104.66
Oryza sativa;20.66056;100.41
Oryza sativa;20.66667;104.66667
Oryza sativa;20.68;101.08
Oryza sativa;20.68;101.06
Oryza sativa;20.68;101.45
Oryza sativa;20.6825;101.4525
Oryza sativa;20.68972;101.06722
Oryza sativa;20.68972;101.08472
Oryza sativa;20.69;100.43
Oryza sativa;20.69;102.48
Oryza sativa;20.69139;100.43583
Oryza sativa;20.69833;102.48944
Oryza sativa;20.7;101.1
Oryza sativa;20.7;101.44
Oryza sativa;20.70222;101.44528
Oryza sativa;20.70694;101.10611
Oryza sativa;20.71;101.43
Oryza sativa;20.71861;101.43361
Oryza sativa;20.72;101.42
Oryza sativa;20.72;101.14
Oryza sativa;20.72;101.95
Oryza sativa;20.72;102.01
Oryza sativa;20.72111;101.1425
Oryza sativa;20.72194;101.95639
Oryza sativa;20.72889;102.01917
Oryza sativa;20.72917;101.42194
Oryza sativa;20.73;101.17
Oryza sativa;20.7375;101.17389
Oryza sativa;20.74;101.95
Oryza sativa;20.74194;101.95528
Oryza sativa;20.75;100.47
Oryza sativa;20.75;102.03
Oryza sativa;20.75444;102.03917
Oryza sativa;20.75611;100.47861
Oryza sativa;20.76;101.2
Oryza sativa;20.76;102.05
Oryza sativa;20.76722;101.20861
Oryza sativa;20.76944;102.05944
Oryza sativa;20.77;101.21
Oryza sativa;20.77;101.93
Oryza sativa;20.77111;101.93222
Oryza sativa;20.77167;101.21167
Oryza sativa;20.78;100.65
Oryza sativa;20.78;101.23
Oryza sativa;20.78306;101.23611
Oryza sativa;20.78472;100.65194
Oryza sativa;20.78472;100.65167
Oryza sativa;20.79;101.24
Oryza sativa;20.79;101.11
Oryza sativa;20.79;101.87
Oryza sativa;20.79;101.9
Oryza sativa;20.79417;101.875
Oryza sativa;20.79444;101.90806
Oryza sativa;20.795;101.87556
Oryza sativa;20.79528;101.11972
Oryza sativa;20.7975;101.2475
Oryza sativa;20.8;101.86
Oryza sativa;20.8;102.08
Oryza sativa;20.80111;101.86611
Oryza sativa;20.80889;102.08889
Oryza sativa;20.81;100.49
Oryza sativa;20.81222;100.49583
Oryza sativa;20.81694;104.15125
Oryza sativa;20.82;101.46
Oryza sativa;20.82361;101.46861
Oryza sativa;20.83;101.28
Oryza sativa;20.83;101.84
Oryza sativa;20.83028;101.28694
Oryza sativa;20.83639;101.84889
Oryza sativa;20.84;101.28
Oryza sativa;20.84056;101.28833
Oryza sativa;20.84491;106.68809
Oryza sativa;20.85;106.68333
Oryza sativa;20.86;101.81
Oryza sativa;20.86;101.8
Oryza sativa;20.86;103.77
Oryza sativa;20.8625;101.80583
Oryza sativa;20.86306;101.81306
Oryza sativa;20.86358;103.77075
Oryza sativa;20.87;101.33
Oryza sativa;20.87;101.47
Oryza sativa;20.87;101.47722
Oryza sativa;20.87917;101.33639
Oryza sativa;20.89;101.35
Oryza sativa;20.89944;101.35028
Oryza sativa;20.9;100.65
Oryza sativa;20.9;101.43
Oryza sativa;20.9;101.75
Oryza sativa;20.9;101.76
Oryza sativa;20.90722;100.65694
Oryza sativa;20.90806;101.43444
Oryza sativa;20.90944;101.75889
Oryza sativa;20.90972;101.7625
Oryza sativa;20.91;101.38
Oryza sativa;20.91;102.18
Oryza sativa;20.91;102.18639
Oryza sativa;20.91056;101.38417
Oryza sativa;20.92;106.33
Oryza sativa;20.92137;101.14156
Oryza sativa;20.94;101.72
Oryza sativa;20.94972;101.72083
Oryza sativa;20.95;100.77
Oryza sativa;20.95;101.4
Oryza sativa;20.95;101.41667
Oryza sativa;20.95083;100.77611
Oryza sativa;20.95194;101.40083
Oryza sativa;20.95371;101.77149
Oryza sativa;20.9585;106.36815
Oryza sativa;20.96;101.68
Oryza sativa;20.96167;101.68806
Oryza sativa;20.97;101.47
Oryza sativa;20.97472;101.47306
Oryza sativa;20.97583;101.475
Oryza sativa;20.97633;101.43883
Oryza sativa;21;103
Oryza sativa;21;101
Oryza sativa;21;102
Oryza sativa;21;100.92
Oryza sativa;21.00028;105.82181
Oryza sativa;21.00333;100.9225
Oryza sativa;21.01;100.94
Oryza sativa;21.01083;100.94083
Oryza sativa;21.02;100.95
Oryza sativa;21.02;101.56
Oryza sativa;21.02167;100.95861
Oryza sativa;21.02222;100.95917
Oryza sativa;21.02647;105.83435
Oryza sativa;21.0277;105.8341
Oryza sativa;21.02773;105.83413
Oryza sativa;21.02777;105.83416
Oryza sativa;21.02833;101.56167
Oryza sativa;21.03;100.99
Oryza sativa;21.03333;105.85
Oryza sativa;21.03457;100.80594
Oryza sativa;21.03472;100.99444
Oryza sativa;21.03528;100.99278
