species;latitude;longitude
Triticum aestivum L.;22.929376;112.044025
Triticum vulgare Vill.;23.099;113.299
Triticum aestivum L.;23.10063;113.2995
Triticum aestivum subsp. aestivum;23.11;113.25
Triticum aestivum L.;23.127041;113.341527
Triticum aestivum L.;23.12911;113.26438
Triticum aestivum L.;23.13219;113.26653
Triticum L.;23.3962;103.36491
Triticum aestivum subsp. aestivum;23.5;113
Triticum aestivum L.;23.504444;120.158058
Triticum aestivum L.;23.63446;121.09131
Triticum vulgare Vill.;23.67974;114.06006
Triticum aestivum subsp. aestivum;24;101
Triticum vulgare L.;24;121
Triticum aestivum L.;24.16;121.28
Triticum aestivum L.;24.22;121.3
Triticum aestivum L.;24.228056;120.550833
Triticum aestivum L.;24.399244;109.379926
Triticum L.;24.46;113.83
Triticum L.;24.466667;113.833333
Triticum aestivum L.;24.706769;102.928677
Triticum aestivum subsp. aestivum;24.8;113.58
Triticum aestivum L.;25.012526;102.700013
Triticum aestivum L.;25.012778;121.541389
Triticum vulgare Vill.;25.015833;121.535833
Triticum aestivum L.;25.017222;121.530556
Triticum aestivum L.;25.128611;121.735833
Triticum aestivum L.;25.255089;110.050532
Triticum aestivum L.;25.39996;112.948819
Triticum aestivum subsp. aestivum;25.815963;100.132828
Triticum aestivum L.;25.833607;116.357607
Triticum aestivum subsp. aestivum;25.933333;117.866667
Triticum aestivum subsp. aestivum;26.066667;119.3
Triticum aestivum subsp. aestivum;26.55;106.45
Triticum aestivum L.;26.580122;111.840659
Triticum vulgare Vill.;26.6056;101.801
Triticum aestivum subsp. aestivum;27;106.833333
Triticum turgidum subsp. durum (Desf.) Husn.;27.616667;104.033333
Triticum aestivum subsp. aestivum;28;116
Triticum aestivum subsp. aestivum;28.116667;114.433333
Triticum aestivum subsp. aestivum;28.183333;115.783333
Triticum aestivum subsp. aestivum;28.25;116.6
Triticum aestivum L.;28.550025;107.443961
Triticum aestivum subsp. aestivum;28.764167;104.618889
Triticum turgidum subsp. durum (Desf.) Husn.;28.83;104.58
Triticum aestivum subsp. aestivum;29;120
Triticum aestivum L.;29.0167;107
Triticum aestivum L.;29.12894;107.04964
Triticum aestivum subsp. aestivum;29.54;106.53
Triticum aestivum L.;29.61015;115.998105
Triticum aestivum L.;29.679105;116.274458
Triticum aestivum subsp. aestivum;29.833333;105
Triticum L.;29.99844;101.95715
Triticum aestivum subsp. aestivum;30;103
Triticum L.;30.02422;101.96307
Triticum L.;30.0907;101.4811
Triticum L.;30.29;102.87
Triticum L.;30.29234;102.872639
Triticum aestivum L.;30.362017;120.017202
Triticum aestivum subsp. aestivum;30.531366;104.06667
Triticum aestivum subsp. aestivum;30.566667;114.266667
Triticum aestivum subsp. aestivum;30.616667;103.666667
Triticum aestivum subsp. aestivum;30.666667;104.066667
Triticum aestivum subsp. aestivum;30.7;111.266667
Triticum aestivum subsp. aestivum;31;112
Triticum aestivum L.;31.042327;110.340757
Triticum aestivum L.;31.1333;102.083
Triticum aestivum L.;31.1333;103
Triticum aestivum L.;31.133333;102.083333
Triticum aestivum L.;31.133333;103
Triticum aestivum L.;31.15;102.033
Triticum aestivum L.;31.15;102.033333
Triticum aestivum subsp. aestivum;31.166667;115.016667
Triticum aestivum subsp. aestivum;31.21;121.45
Triticum aestivum subsp. aestivum;31.23;121.46
Triticum aestivum L.;31.616667;130.533333
Triticum aestivum L.;31.6167;130.517
Triticum aestivum L.;31.6167;130.533
Triticum aestivum subsp. sphaerococcum (Percival) Mackey;31.75;120.25
Triticum aestivum subsp. aestivum;31.86;117.28
Triticum aestivum L.;31.933333;131.45
Triticum aestivum subsp. aestivum;31.96667;118.83333
Triticum turgidum subsp. durum (Desf.) Husn.;32.033333;118.766667
Triticum aestivum subsp. aestivum;32.05;118.75
Triticum turgidum subsp. durum (Desf.) Husn.;32.05;118.8
Triticum aestivum L.;32.055645;118.797741
Triticum aestivum subsp. aestivum;32.06;118.76
Triticum aestivum subsp. aestivum;32.06667;118.76667
Triticum turgidum subsp. turgidum;32.2;119.43333
Triticum L.;32.23861;105.13084
Triticum aestivum subsp. aestivum;32.4742;103.908
Triticum L.;32.5819;100.463
Triticum aestivum L.;32.833333;130.7
Triticum aestivum subsp. aestivum;32.84056;120.31278
Triticum aestivum subsp. aestivum;33;131.08
Triticum aestivum subsp. aestivum;33.05;118.8
Triticum aestivum L.;33.15355;106.67304
Triticum aestivum L.;33.25;131.6
Triticum aestivum L.;33.2667;130.3
Triticum aestivum subsp. aestivum;33.27;104.155
Triticum aestivum subsp. aestivum;33.5;130.5
Triticum aestivum L.;33.7818;129.6677
Triticum vulgare Vill.;33.93222;107.99834
Triticum aestivum L.;33.995007;133.939821
Triticum aestivum subsp. aestivum;34;114
Triticum aestivum L.;34.062643;134.297371
Triticum aestivum L.;34.17;108.36
Triticum aestivum L.;34.27;108.08
Triticum aestivum L.;34.476031;109.286435
Triticum aestivum subsp. aestivum;34.5;136.5
Triticum aestivum L.;34.6667;133.9
Triticum aestivum subsp. aestivum;34.75;113.633333
Triticum aestivum L.;34.757778;117.58
Triticum aestivum L.;34.7841;134.37533
Triticum aestivum subsp. aestivum;34.8;116.083333
Triticum aestivum subsp. aestivum;34.95;115.866667
Triticum aestivum L.;34.983333;138.4
Triticum L.;35;105
Triticum aestivum subsp. aestivum;35;108.833333
Triticum aestivum subsp. aestivum;35;135
Triticum aestivum L.;35.033333;135.75
Triticum aestivum L.;35.04075;135.57353
Triticum aestivum L.;35.116667;135.916667
Triticum aestivum L.;35.140798;139.653037
Triticum aestivum L.;35.17894;140.12325
Triticum aestivum L.;35.20256;102.521732
Triticum aestivum L.;35.31932;139.32764
Triticum aestivum L.;35.3408;139.33705
Triticum aestivum L.;35.349098;139.090583
Triticum aestivum L.;35.357436;139.253068
Triticum aestivum L.;35.3625;139.40625
Triticum aestivum L.;35.374107;139.515548
Triticum aestivum L.;35.379167;139.30625
Triticum aestivum L.;35.390767;139.328061
Triticum spelta L.;35.4437;139.638
Triticum vulgare Vill.;35.4443;139.626
Triticum aestivum L.;35.449098;139.665534
Triticum aestivum L.;35.45;136.766667
Triticum aestivum L.;35.45;136.767
Triticum aestivum L.;35.45743;139.590541
Triticum aestivum L.;35.457431;139.628037
Triticum aestivum L.;35.457431;139.640536
Triticum aestivum L.;35.462222;139.682778
Triticum aestivum L.;35.465763;139.615538
Triticum aestivum L.;35.474092;139.365558
Triticum aestivum L.;35.474092;139.403055
Triticum aestivum L.;35.482424;139.390555
Triticum aestivum L.;35.499089;139.365557
Triticum aestivum L.;35.499093;139.728027
Triticum aestivum subsp. aestivum;35.5;138.5
Triticum aestivum subsp. aestivum;35.5;139.5
Triticum aestivum L.;35.503264;140.084244
Triticum aestivum L.;35.515758;139.665533
Triticum aestivum L.;35.524089;139.578041
Triticum aestivum L.;35.52409;139.753025
Triticum aestivum L.;35.532422;139.603038
Triticum aestivum L.;35.532422;139.703029
Triticum aestivum L.;35.540751;139.503046
Triticum aestivum L.;35.540754;139.69053
