species;latitude;longitude
Zea mays;20.04;100.51
Zea mays;20.046054;100.516667
Zea mays;20.16346;106.07611
Zea mays;21.03;105.51
Zea mays;22.097768;107.957979
Zea mays;22.391288;106.817838
Zea mays;22.48;108.19
Zea mays;22.675;121.492183
Zea mays;22.962351;113.487354
Zea mays;23.127041;113.341527
Zea mays;23.226775;108.229301
Zea mays;23.3789;120.9375
Zea mays;23.545278;119.523611
Zea mays;23.661283;121.444833
Zea mays;23.749001;108.301926
Zea mays;24.392703;124.206508
Zea mays;24.392902;106.633387
Zea mays;24.615701;100.709787
Zea mays;24.958304;121.542828
Zea mays;25.012778;121.535278
Zea mays;25.015833;121.535833
Zea mays;25.017222;121.530556
Zea mays;25.39996;112.948819
Zea mays;25.45;112.43
Zea mays;25.60168;110.585686
Zea mays;25.661237;114.765114
Zea mays;26.00537;110.599945
Zea mays;26.141502;107.488271
Zea mays;30.583333;114.266666
Zea mays;30.6667;104.067
Zea mays;31.042327;110.340757
Zea mays;31.370137;109.629918
Zea mays;31.863888;117.280555
Zea mays;32.157022;117.314987
Zea mays;32.637983;103.59895
Zea mays;33.264908;126.55847
Zea mays;33.267469;126.554731
Zea mays;33.55642;133.53572
Zea mays;33.925183;133.892022
Zea mays;34.54;127.75
Zea mays;34.549444;127.755833
Zea mays;34.55;127.26
Zea mays;34.55;127.266667
Zea mays;34.68;126.54
Zea mays;34.68;127.59
Zea mays;34.683332;126.549999
Zea mays;34.685833;127.596667
Zea mays;34.73;128.61
Zea mays;34.733333;128.616667
Zea mays;34.78;127.38
Zea mays;34.783333;127.383333
Zea mays;34.7841;134.37533
Zea mays;34.784101;134.375328
Zea mays;34.81;127.56
Zea mays;34.816667;127.566667
Zea mays;34.9;126.85
Zea mays;34.903953;126.859131
Zea mays;34.98;127.33
Zea mays;34.989722;127.333333
Zea mays;35;139
Zea mays;35.05;126.98
Zea mays;35.05;127.2
Zea mays;35.051944;127.203333
Zea mays;35.059444;126.985
Zea mays;35.21;128.71
Zea mays;35.216667;128.716667
Zea mays;35.45;128.14
Zea mays;35.45;128.86
Zea mays;35.45;129.27
Zea mays;35.451721;128.144531
Zea mays;35.451721;128.866669
Zea mays;35.451721;129.279722
Zea mays;35.55;129.12
Zea mays;35.558889;129.120278
Zea mays;35.57964;139.71599
Zea mays;35.61;127.48
Zea mays;35.616667;127.483333
Zea mays;35.66;128.73
Zea mays;35.660141;108.531113
Zea mays;35.666667;128.733333
Zea mays;35.71;127.14
Zea mays;35.71;127.03
Zea mays;35.71;128.56
Zea mays;35.716667;127.033333
Zea mays;35.716667;128.566667
Zea mays;35.719758;127.144775
Zea mays;35.76625;139.59155
Zea mays;35.85;126.41
Zea mays;35.85;126.416667
Zea mays;35.860085;104.165813
Zea mays;35.88;127.24
Zea mays;35.886391;127.244167
Zea mays;35.95;127.48
Zea mays;35.95;127.483333
Zea mays;35.98;126.83
Zea mays;35.983333;126.833333
Zea mays;36.1;128.41
Zea mays;36.1;128.416667
Zea mays;36.107933;120.415961
Zea mays;36.16;128.13
Zea mays;36.166667;128.133333
Zea mays;36.21;127.99
Zea mays;36.216667;127.999996
Zea mays;36.23;127.71
Zea mays;36.233337;127.716663
Zea mays;36.28;128.09
Zea mays;36.282221;128.09639
Zea mays;36.29;126.41
Zea mays;36.29;128.61
Zea mays;36.29;128.97
Zea mays;36.297418;126.416667
Zea mays;36.297418;128.979492
Zea mays;36.297418;128.616667
Zea mays;36.36;129.39
Zea mays;36.364167;129.391389
Zea mays;36.38;126.36
Zea mays;36.388889;126.364722
Zea mays;36.45;127.416667
Zea mays;36.45;127.41
Zea mays;36.51;128.86
Zea mays;36.518889;128.861954
Zea mays;36.59;128
Zea mays;36.598889;128.003056
Zea mays;36.616667;127.75
Zea mays;36.62;126.73
Zea mays;36.624345;126.738281
Zea mays;36.68;127.47
Zea mays;36.68;127.7
Zea mays;36.686041;127.705078
Zea mays;36.688056;127.471667
Zea mays;36.75;126.416667
Zea mays;36.75;126.41
Zea mays;36.78;126.45
Zea mays;36.78;128.11
Zea mays;36.781667;126.452222
Zea mays;36.783333;128.116669
Zea mays;36.98;129.4
Zea mays;36.989722;129.404167
Zea mays;36.99;126.96
Zea mays;36.999996;126.966663
Zea mays;37.14;129.27
Zea mays;37.140833;129.279722
Zea mays;37.5;127.25
Zea mays;37.53;127.04
Zea mays;37.53;127.11
Zea mays;37.533333;127.116665
Zea mays;37.533333;127.049999
Zea mays;37.783333;140.983333
Zea mays;39.38736;116.683289
Zea mays;39.879848;114.630747
Zea mays;39.916672;116.383331
Zea mays;43.633259;126.500004
Zea mays;44;143
Zea mays;44.118611;129.226944
Zea mays;45.75;126.650002
Zea mays;46.25;122.93
Zea mays;46.3939;103.583
Zea mays;47.18;126.36
Zea mays;48.496904;135.132317
Zea mays;60;105
